流水號,主編號,屬性,又音
2,43,又唸作,tsi̍t-táu-kú-á
3,72,又唸作,tsa̍p-jī-tsí-tn̂g/tsa̍p-lī-tsí-tn̂g
4,76,又唸作,tshit-si̍k
5,81,又唸作,tiau-kang
6,123,又唸作,thiau-tî
7,124,又唸作,thiau-kòo-ì
8,129,又唸作,jîn-guân/lîn-guân
9,141,又唸作,jîn-sam/lîn-sam
10,141,又唸作,jîn-som/lîn-som
11,160,又唸作,ji̍p-ha̍k/li̍p-ha̍k
12,167,又唸作,tiau-lân
13,168,又唸作,jîn-kuân/lîn-kuân
14,184,又唸作,ā
15,187,又唸作,hān
16,232,又唸作,siāng-kú
17,252,又唸作,siáu-thiúnn-á
18,263,又唸作,thóo-ba̍k
19,287,又唸作,siāng-ke
20,307,俗唸作,kiú-ióng
21,314,又唸作,siāng hó
22,315,又唸作,ā-hó
23,317,又唸作,Thóo-lī-kong
24,354,又唸作,siáu-jî-kho/siáu-lî-kho
25,359,又唸作,tuā-tsé
26,372,又唸作,ē-hng
27,372,又唸作,enn-hng
28,372,合音唸作,i̋ng
29,374,又唸作,enn-hng-àm
30,374,合音唸作,ing-àm
31,381,又唸作,tshiūnn-tshenn-tî/tshiūnn-tshinn-tî
32,393,又唸作,ā-sī
33,439,又唸作,e-tàu
34,439,又唸作,ēnn-tàu
35,440,又唸作,e-poo
36,456,又唸作,kan-tann
37,456,又唸作,kan-ta
38,459,又唸作,kang-thîng
39,460,又唸作,kang-thîng-su
40,464,又唸作,thóo-pa̍t-á
41,470,又唸作,suann-sì
42,472,又唸作,enn-àm
43,484,又唸作,tuā-bak-tóo
44,507,又唸作,siāng kín
45,510,又唸作,siāng-kài
46,511,又唸作,siáu-suat
47,535,又唸作,ē-huâi
48,536,又唸作,tuā-o̍h
49,537,又唸作,sió-o̍h
50,544,又唸作,siāng-thâu-á
51,545,又唸作,tuā-thâu-bó
52,551,又唸作,siāng tsē/siāng tsuē
53,552,又唸作,tsiūnn-siann
54,552,又唸作,siōng-siann
55,559,又唸作,ē-khok
56,559,又唸作,ē-gok
57,623,又唸作,lāi-sim
58,637,合音唸作,ta̋nn
59,645,又唸作,kang-bú
60,652,合音唸作,hoo
61,685,又唸作,lāi-tsìng
62,705,又唸作,lāi-iông
63,719,又唸作,put-tit-liáu
64,720,又唸作,put-tit-í
65,729,又唸作,lāi-pōo
66,732,俗唸作,kong-ú
67,744,又唸作,pun-khui
68,765,又唸作,lāi-koh
69,769,又唸作,tiong-o̍h
70,790,又唸作,páinn
71,791,又唸作,jīm/līm
72,817,又唸作,phái
73,820,又唸作,moo
74,835,又唸作,tshiú-ē
75,847,又唸作,thian-tsénn/thian-tsínn
76,881,又唸作,thài-phîng
77,884,又唸作,tsuí-bú
78,888,又唸作,khiàm-iōng
79,890,又唸作,tsuí-tiân
80,905,又唸作,thian-tē/thian-tuē
81,928,又唸作,bo̍k-jí
82,928,又唸作,bo̍k-mí
83,931,又唸作,m̄-niā
84,942,又唸作,bo̍k-tshâi
85,958,又唸作,hong-gân
86,999,又唸作,m̄-ti̍nnh
87,1027,又唸作,ngóo-sî
88,1029,又唸作,thinn-sî
89,1031,又唸作,m̄ pat
90,1036,又唸作,bûn-si
91,1057,又唸作,sim-tsiânn
92,1061,又唸作,sin-sóng
93,1062,又唸作,thinn-lí
94,1067,又唸作,bûn-tsiunn
95,1075,又唸作,bo̍k-mâ-hông
96,1079,又唸作,phí-jū/phí-lū
97,1104,又唸作,thian-ì
98,1118,又唸作,pháinn-bak-tóo
99,1124,又唸作,m̄-kò
100,1124,又唸作,m̄-kù
101,1140,又唸作,tshiú-tsí-phōo-á
102,1166,又唸作,bûn-pîn
103,1197,又唸作,píng-lìn-tńg
104,1202,又唸作,suí-ke/suí-kue
105,1213,又唸作,tshiú-long
106,1239,又唸作,gû-bú
107,1272,又唸作,gû-tshuì-lam
108,1301,又唸作,hué-ke-bú/hé-kue-bú
109,1315,又唸作,kâng
110,1336,又唸作,hiann-tī-tsí-muāi
111,1345,又唸作,kāng-pē-koh-bó
112,1361,又唸作,tāi-si
113,1362,又唸作,tshian-tsháu
114,1377,又唸作,tshé-bān
115,1385,又唸作,tsú-kuân
116,1400,又唸作,khá
117,1408,又唸作,tho
118,1415,又唸作,khónn
119,1422,又唸作,puànn-thenn-tó
120,1448,又唸作,sù-hong
121,1492,又唸作,khónn-phànn
122,1502,又唸作,puànn-sìn-puànn-gî
123,1519,又唸作,tshut-tshe
124,1532,又唸作,khónn-lîng
125,1545,又唸作,ke-thinn
126,1560,又唸作,khónn-ònn
127,1561,又唸作,khónn-náu
128,1602,又唸作,sì-khoo-lìn-tńg
129,1630,又唸作,khiò-siā
130,1690,又唸作,tsiann-gue̍h/tsiann-ge̍h
131,1696,又唸作,bó-á-kiánn
132,1698,又唸作,ling-bó/ni-bó
133,1704,又唸作,ling-bó-tshia/ni-bó-tshia
134,1708,又唸作,bó-kiánn-í
135,1717,又唸作,bó-kīm
136,1719,又唸作,tá-pān
137,1725,又唸作,bú-sin
138,1739,又唸作,bú--ê
139,1742,又唸作,bú-kim
140,1759,又唸作,ka-tsiah
141,1761,又唸作,ka-tsiah-āu
142,1762,又唸作,ka-tsiah-phiann
143,1764,又唸作,tiám-má-ka
144,1765,又唸作,tiám-má-ka-lōo
145,1770,又唸作,tá-thàm
146,1772,又唸作,tá-tháng
147,1775,又唸作,tsiànn-thóng
148,1779,又唸作,tsiànn-tôo
149,1805,又唸作,bó-kū
150,1806,又唸作,bó-kū-kong
151,1812,又唸作,sit-ngōo
152,1820,又唸作,bió-tshin
153,1820,又唸作,bóo-tshin
154,1823,又唸作,bó-tsînn
155,1828,又唸作,tá-kik
156,1835,又唸作,tá-jiáu/tá-liáu
157,1842,又唸作,bó-thé
158,1843,又唸作,sit-thé-biān
159,1877,又唸作,pe̍h-lāi-tsiòng
160,1881,又唸作,pe̍h-bo̍k-jí
161,1882,又唸作,gio̍k-á
162,1892,又唸作,tshenn-hūn/tshinn-hūn
163,1893,又唸作,tshenn-hūn-lâng/tshinn-hūn-lâng
164,1900,又唸作,senn-tsiânn/sinn-tsiânn
165,1909,又唸作,tsio̍h-gám
166,1926,又唸作,ba̍k-tsîng
167,1949,又唸作,pi̍k-tài
168,1969,又唸作,si̍k-kám-tong
169,1987,又唸作,ba̍k-tsia̍p-mn̂g
170,2008,又唸作,bo̍k-phiau
171,2023,又唸作,bo̍k-lio̍k
172,2069,又唸作,sin-senn
173,2069,又唸作,sian-senn
174,2070,又唸作,sin-senn-niû
175,2070,又唸作,sian-senn-niû
176,2071,又唸作,sin-senn-má
177,2071,又唸作,sian-senn-má
178,2159,又唸作,gín-á-siàng
179,2204,俗唸作,uî-kip
180,2209,又唸作,ha̍p-ke
181,2220,又唸作,miâ-bōng
182,2238,俗唸作,ìn-sióng
183,2258,又唸作,tông-o̍h
184,2259,俗唸作,uî-ki
185,2263,又唸作,huî-hiám
186,2263,俗唸作,uî-hiám
187,2284,又唸作,jî/lî
188,2289,又唸作,tsiúnn
189,2297,又唸作,nî
190,2309,又唸作,tshûn-sim
191,2318,又唸作,jī-bó/lī-bó
192,2328,又唸作,jî-tshú/lî-tshú
193,2330,又唸作,jî-tshú-jî-tshú/lî-tshú-lî-tshú
194,2343,又唸作,jû-lâi-hu̍t-tsóo/lû-lâi-hu̍t-tsóo
195,2350,又唸作,tsiúnn khang-pâng
196,2359,又唸作,an-ke
197,2386,又唸作,tsûn-khuánn
198,2406,又唸作,tsiúnn-kuánn
199,2417,又唸作,an-iúnn
200,2485,又唸作,sí-gín-á-thenn
201,2517,合音唸作,tsái-sî-á
202,2528,俗唸作,tsái-khí
203,2529,俗唸作,tsái-khí-tǹg
204,2530,又唸作,khàu-tî
205,2559,又唸作,ū-lōo-iōng
206,2561,俗唸作,tsái-tǹg
207,2605,又唸作,jí
208,2639,又唸作,iûnn-môo-sann
209,2652,又唸作,iûnn-bú
210,2654,又唸作,lāu-bó
211,2658,又唸作,jí-bo̍k
212,2750,又唸作,kang-ngôo
213,2756,又唸作,lāu-huan-thian
214,2779,又唸作,hiat-lōo
215,2812,又唸作,bí-ko-muâi
216,2853,又唸作,se-sit
217,2875,又唸作,tá
218,2876,又唸作,tah
219,2894,又唸作,tshng-tshiú
220,2898,又唸作,pu̍t-tshiú-kue
221,2900,又唸作,hu̍t-á
222,2907,合音唸作,tuē、tueh
223,2930,又唸作,Hu̍t-tsóo
224,2932,又唸作,pu̍t-tn̂g
225,2933,又唸作,Pu̍t-kàu
226,2936,又唸作,luí-uānn
227,2944,又唸作,pu̍t-siōng
228,2945,俗唸作,tsoh-piah
229,2993,又唸作,khi̍p-tsio̍h
230,3008,又唸作,lī-sit
231,3040,又唸作,gám-á
232,3046,俗唸作,kham-kham-khia̍t-khia̍t
233,3060,又唸作,tsē-siâm
234,3064,又唸作,biāu
235,3119,又唸作,hi-bōng
236,3151,又唸作,bông
237,3156,又唸作,náu
238,3160,又唸作,gîm
239,3161,又唸作,pan
240,3161,又唸作,penn
241,3171,又唸作,khī-ji̍t/khī-li̍t
242,3173,又唸作,Tshn̂g-bó
243,3174,又唸作,gió kha-tshng
244,3176,又唸作,pí-iū
245,3178,又唸作,kī-tshn̂g
246,3184,又唸作,khuànn-ua̍h
247,3189,又唸作,jím-khì
248,3203,又唸作,pan--kuè-lâi/pan--kè-lâi
249,3203,又唸作,penn--kuè-lâi/penn--kè-lâi
250,3217,又唸作,iah
251,3217,又唸作,a̍h
252,3217,又唸作,ah
253,3234,又唸作,tshuan
254,3250,又唸作,iah-sī
255,3250,又唸作,a̍h-sī
256,3250,又唸作,ah-sī
257,3256,又唸作,tshâi-liāu
258,3259,又唸作,tōo-ún-á
259,3285,又唸作,phue-long
260,3294,又唸作,thài
261,3296,又唸作,tiâm
262,3334,俗唸作,sua-bôo
263,3401,又唸作,gân
264,3415,又唸作,gún
265,3442,又唸作,tāu-jí/tāu-lí
266,3442,又唸作,tāu-jínn
267,3457,又唸作,kìnn-nā
268,3472,又唸作,tsáu-tshiàng
269,3483,又唸作,tshia-tsiáng
270,3552,合音唸作,laih
271,3552,合音唸作,la̋i
272,3560,又唸作,jí-miâ/lí-miâ
273,3564,又唸作,hióng-siū
274,3567,俗唸作,phuè-hok
275,3568,又唸作,kai-tsài
276,3584,合音唸作,ân-phiánn
277,3584,合音唸作,iân-phiánn
278,3585,合音唸作,ân-suànn
279,3585,合音唸作,iân-suànn
280,3587,又唸作,hióng-hok
281,3590,又唸作,i-lāi
282,3650,又唸作,tsik-peh-tsí-muāi
283,3671,又唸作,siūnn-khì
284,3685,又唸作,siū-tng-bē-khí/siū-tng-buē-khí
285,3691,又唸作,hia̍p-tiāu
286,3693,又唸作,tshì-khik
287,3712,又唸作,hâm
288,3717,又唸作,phênn/phînn
289,3717,又唸作,phiânn
290,3722,又唸作,thán-pe̍h
291,3785,又唸作,tsé-hu
292,3787,又唸作,tsé--á
293,3790,又唸作,Tsiáu-bó
294,3795,又唸作,kî-biāu
295,3796,又唸作,tsí-muāi
296,3797,又唸作,tsí-muāi-á-phuānn
297,3801,又唸作,uí-guân
298,3856,又唸作,kuann-guân
299,3857,又唸作,tiàm-guân
300,3861,又唸作,tīng-tsò/tīng-tsuè
301,3870,又唸作,kuì-tsiat
302,3906,又唸作,íng-ji̍t/íng-li̍t
303,3914,又唸作,íng-nî
304,3938,又唸作,hit-hō
305,3954,又唸作,piann
306,3959,又唸作,liu
307,4000,合音唸作,phàng-kiàn
308,4000,合音唸作,phàng-kìnn
309,4019,又唸作,khioh-kiánn-bó
310,4028,又唸作,piànn-hueh/piànn-huih
311,4035,又唸作,té-khòng
312,4049,又唸作,té-ah
313,4061,又唸作,phah-ka-tshiùnn
314,4069,又唸作,tsiau-tāi
315,4085,又唸作,pàng-sat
316,4102,又唸作,sóo-tit
317,4103,又唸作,sóo-tit-suè/sóo-tit-sè
318,4105,又唸作,tú-bueh
319,4113,又唸作,phah-mâ-tshiok
320,4113,又唸作,phah-bâ-tshiok
321,4138,又唸作,phah-pōng-siû
322,4145,俗唸作,phō-khiam
323,4161,又唸作,thiu-ti-bú-suè/thiu-tu-bú-sè
324,4174,又唸作,phann-lìn-táu
325,4190,又唸作,liu-tshiam
326,4194,又唸作,liu-khau
327,4220,又唸作,miâ-á-ji̍t/miâ-á-li̍t
328,4222,又唸作,miâ-á-tsá-khí
329,4222,俗唸作,bîn-á-tsái-khí
330,4223,又唸作,miâ-á-àm
331,4224,又唸作,miâ-á-tsài
332,4227,又唸作,mâ-nî
333,4227,又唸作,muâ-nî
334,4231,又唸作,Nâ-tâu-tsé--á
335,4238,又唸作,bîng-sing
336,4253,又唸作,ná-pa̍t-á
337,4255,又唸作,ia̍h-king
338,4261,又唸作,tsím-thâu-long
339,4322,又唸作,ám-muâi-á
340,4335,又唸作,tsháu
341,4339,又唸作,pa
342,4346,又唸作,káu-kām-á
343,4355,又唸作,káu-bú
344,4356,又唸作,káu-bú-hî/káu-bú-hû
345,4514,又唸作,í
346,4526,又唸作,khiû-moo
347,4526,又唸作,khiû-môo
348,4528,又唸作,bûn-hōo
349,4540,又唸作,a-bó
350,4550,又唸作,tióng-ló
351,4569,又唸作,piáu-tsé
352,4571,又唸作,a-tsé
353,4574,又唸作,a-pa
354,4574,又唸作,a-pâ
355,4621,又唸作,gîng-tsih
356,4621,又唸作,ngiâ-tsih
357,4648,又唸作,kim-póng
358,4658,又唸作,giâ-nāu-jia̍t/giâ-nāu-lia̍t
359,4660,又唸作,giâ-ting
360,4674,又唸作,mn̂g-nî
361,4697,又唸作,piān-muî-lâng
362,4725,又唸作,pó-tsìng
363,4728,俗唸作,sìn-ióng
364,4746,又唸作,kuàn-kun
365,4767,又唸作,pó-uī
366,4787,又唸作,leh
367,4809,又唸作,ai-pē-kiò-bó
369,4849,又唸作,khè-bó
370,4863,俗唸作,im-iân
371,4877,又唸作,tōo-sió-gua̍t
372,4892,又唸作,sái-pe-khí
373,4893,又唸作,pang-tiâu
374,4932,又唸作,hiō-tāi
375,4937,又唸作,āu-bó
376,4939,又唸作,āu-bó-bīn
377,4962,又唸作,phián-si̍t
378,4966,又唸作,hōo-hué
379,4973,俗唸作,hue-ho̍k
380,4975,俗唸作,hiō-sû
381,4982,又唸作,tsáinn-iūnn
382,4983,又唸作,āu-puè
383,4985,又唸作,pín-tann
384,5014,又唸作,ia̍h
385,5029,又唸作,ia̍h-sái
386,5032,又唸作,tsa̍h-hng
387,5032,合音唸作,tsa̋ng
388,5035,俗唸作,sū-hui
389,5038,又唸作,án-nuá
390,5038,又唸作,án-ná
391,5047,又唸作,àn-be̍h
392,5056,又唸作,ia̍h-tio̍h
393,5062,又唸作,tshun-tsiat
394,5066,又唸作,kòo-tsiòng
395,5068,又唸作,thiau-tsiàn
396,5076,又唸作,tsìng-kuân
397,5095,又唸作,móo-mí-lâng
398,5112,合音唸作,tsa̋u-kán
399,5113,合音唸作,tsa̋u-lâng
400,5114,合音唸作,tsa̋u-kiánn
401,5115,合音唸作,tsa̋u-gín-á
402,5117,又唸作,tsa̋u-sun
403,5119,合音唸作,tsa̋u-king
404,5153,又唸作,khò-huānn
405,5178,又唸作,khó-thâu-muâi
406,5196,又唸作,liû-suí
407,5196,又唸作,lâu-suí
408,5209,又唸作,ua̍h-tōng
409,5210,又唸作,ua̍h-bueh
410,5220,又唸作,tsà-tân
411,5221,又唸作,ua̍t-phuat
412,5236,又唸作,kuì
413,5242,又唸作,siang
414,5243,又唸作,siàng
415,5246,又唸作,sio-siâng
416,5248,又唸作,siùnn-kang
417,5251,又唸作,sio-kâng
418,5259,又唸作,sann-kìnn
419,5269,又唸作,sann-tsenn/sann-tsinn
420,5283,又唸作,sio-pat
421,5298,又唸作,suan-lôo
422,5311,又唸作,sann-su
423,5317,又唸作,sio-jióng
424,5353,又唸作,tshio-tshìn
425,5354,又唸作,kho-guân
426,5365,又唸作,thu̍t-jiân/thu̍t-liân
427,5375,又唸作,phînn-sng
428,5402,又唸作,âng-bûn-thôo
429,5408,又唸作,nāi-īng
430,5444,又唸作,uī-huì-iông
431,5444,又唸作,uī-huī-iông
432,5472,又唸作,ām
433,5504,又唸作,ná-tshan-tshiūnn
434,5555,又唸作,kè-tîng-tshia
435,5555,又唸作,khè-thîng-tshia
436,5572,又唸作,kè-biô
437,5578,俗唸作,kun-kàm
438,5620,又唸作,tsia̍h-mi̍h/tsia̍h-mn̍gh
439,5621,又唸作,hong-hōo
440,5635,又唸作,tsia̍h-ka-tī
441,5652,又唸作,hui-niáu
442,5659,又唸作,hiunn-koo-bah-muâi
443,5751,又唸作,tsioh-īng
444,5769,又唸作,hāu-be̍h
445,5794,又唸作,hiō-suán-jîn/hiō-suán-lîn
446,5800,又唸作,tshìn-muâi
447,5811,又唸作,guân
448,5821,又唸作,--hmh
449,5834,又唸作,nà-buē/nà-bē
450,5848,又唸作,khàu-pē-khàu-bó
451,5852,又唸作,ko-ko
452,5920,又唸作,ka-tī
453,5921,又唸作,ka-tī-lâng
454,5923,合音唸作,tsha̋u-to
455,5923,合音唸作,tsha̋u
456,5928,又唸作,sai-hiann
457,5930,又唸作,su-bó
458,5946,又唸作,tshe-kah
459,5950,又唸作,tián-khui
460,5957,又唸作,kiong-biō
461,5991,又唸作,in-tsîng
462,5996,又唸作,in-ài
463,6000,又唸作,kûn-thâu-bú
464,6014,又唸作,pat
465,6019,又唸作,pô
466,6022,又唸作,ji̍h
467,6036,又唸作,pat-jī/pat-lī
469,6053,又唸作,bán-be̍h
470,6066,又唸作,pat-huè/pat-hè
471,6073,又唸作,pat-siūnn
472,6077,又唸作,ji̍h tiān-lîng
473,6091,又唸作,tshia-lìn-táu
474,6099,又唸作,si
475,6143,又唸作,sâ-se
476,6147,又唸作,hu̍t-lîng
477,6171,又唸作,hop
478,6185,又唸作,kit-á
479,6196,又唸作,hái-gān
480,6201,俗唸作,tsìng-khī
481,6210,又唸作,hái-iang
482,6212,又唸作,phû-thām
483,6213,又唸作,hái-sam
484,6213,又唸作,hái-som
485,6214,又唸作,thài-kok-pa̍t-á
486,6219,又唸作,hái-sán-muâi
