流水號,主編號,屬性,又音
957,12827,又唸作,láng-kuân
958,12831,又唸作,pān
959,12832,又唸作,ngāi
960,12833,又唸作,ngāi-ba̍k
961,12835,又唸作,po̍k-tsah
962,12836,又唸作,ngāi-gio̍h
963,12838,又唸作,sih-nà
964,12838,又唸作,sinnh-nà
965,12843,又唸作,nî
966,12854,俗唸作,pho̍k-á
967,12865,又唸作,puànn-ki-kah
968,12983,又唸作,jióng
969,13029,又唸作,kìng-tsing
970,13053,又唸作,kìng-kò
971,13054,又唸作,kìng-kài
972,13060,又唸作,gī-guân
973,13061,又唸作,kak-gōo
974,13064,又唸作,kìng-pò
975,13070,又唸作,kìng-tshat
976,13071,又唸作,kìng-tshat-kio̍k
977,13077,又唸作,sik-khiau
978,13077,又唸作,sik-kia
979,13113,又唸作,bīn-thâu
980,13116,又唸作,kiâm-muâi
981,13137,又唸作,hia-pai
982,13140,又唸作,nuā-thôo-muâi
983,13172,又唸作,lòo-tsuí
984,13189,又唸作,hōo-tsiò
985,13197,又唸作,lo̍k-iânn
986,13231,又唸作,kuân
987,13232,又唸作,kuân-li̍k
988,13234,又唸作,kuân-lī
989,13237,又唸作,kuân-ui
990,13238,又唸作,kuân-hān
991,13308,又唸作,lìng
992,13324,又唸作,kiann tshenn-hūn/kiann tshinn-hūn
993,13344,又唸作,lìng phuē/lìng phē
994,13347,又唸作,pìnn-khuán
995,13376,又唸作,liân-tsi
996,13544,又唸作,thenn
997,13545,又唸作,thenn-í
998,13557,又唸作,thit-thô
999,13558,又唸作,thit-thô-lâng
1000,13559,又唸作,thit-thô gín-á
1001,13560,又唸作,thit-thô-mi̍h/thit-thô-mn̍gh
1002,13561,又唸作,thit-thô-mih-á
1003,13609,又唸作,but
1004,13636,又唸作,thap
1005,8379,又唸作,phiak
1006,11373,又唸作,hê-koo-phiak-á
1007,8158,又唸作,niáu-tshí-phiak-á/niáu-tshú-phiak-á
1008,8164,又唸作,tsiáu-phiak-á
1009,12646,又唸作,siān-âng-á
1010,12646,又唸作,siān-lâng-á
1011,12646,又唸作,siān-tâng-á
1012,12646,又唸作,sîn-âng-á
1013,2416,又唸作,tshūn-pān
1014,2329,又唸作,tshūn-sí
1015,13515,又唸作,uaih-tio̍h
1016,13514,又唸作,uaih
1017,34,又唸作,it-kài
1018,50033,又唸作,tshui-tshut
1019,50057,又唸作,kuè-thîng/kè-thîng
1020,50060,又唸作,kìng-hong
1021,50066,又唸作,thîng-sik
1022,50071,又唸作,guân-kang
1023,50079,又唸作,kiû-guân
1024,50110,又唸作,biān-tuì
1025,50146,又唸作,tshui-tōng
1026,50152,又唸作,kang-khū
1027,50168,又唸作,tài-lâi
1028,50196,又唸作,iú-hāu
1029,50198,又唸作,sîng-guân
1030,50252,又唸作,kì-lio̍k
1031,50284,又唸作,tāi-kài
1032,50294,又唸作,pó-tsiòng
1033,50303,又唸作,huē-guân
1034,50304,又唸作,kìng-suán
1035,50313,又唸作,tshui-tsiàn
1036,50334,又唸作,sîng-sio̍k
1037,50343,又唸作,tsí-phiau
1038,50350,又唸作,líng-i̍k
1039,50362,又唸作,hîng-thîng
1040,50367,又唸作,khài-liām
1041,50374,又唸作,kì-lio̍k
1042,50381,又唸作,huân-pó
1043,50386,又唸作,im-hiáng
1044,50395,又唸作,hun-hiáng
1045,50470,又唸作,lo̍h-si̍t
1046,50472,又唸作,kua-ki̍k
1047,50506,又唸作,tong-tiong
1048,50507,又唸作,phiau-sī
1049,50510,又唸作,lio̍k-tshú
1050,50545,又唸作,pâi-tî
1051,50558,又唸作,hông-hōo
1052,50576,又唸作,kìng-sài
1053,50594,又唸作,kuàn-tshuan
1054,50599,又唸作,î-hōo
1055,50609,又唸作,ngôo-lo̍k
1056,50633,又唸作,tsiân-uī
1057,50636,又唸作,ka-khū
1058,50638,又唸作,tài-niá
1059,50690,又唸作,hóo-jīn/hóo-līn
1060,50721,又唸作,uân-khu
1061,50737,又唸作,īng-lâi
1062,50747,又唸作,tsìn-tsū
1063,50754,又唸作,ha̍k-guân
1064,50759,又唸作,kuân-ik
1065,50766,又唸作,kóo-nóo
1066,50781,又唸作,hu̍t-bú
1067,50790,又唸作,ting-lio̍k
1068,50796,又唸作,uán-lî
1069,50834,又唸作,kóo-kuân
1070,50897,又唸作,suat-ho̍k
1071,50898,又唸作,kóng-pò
1072,50979,又唸作,hòng-bo̍k
1073,50994,又唸作,siū-kuân
1074,51004,又唸作,tsiàu-bîng
1075,51009,又唸作,ki̍k-tsîng
1076,51027,又唸作,tsuí-pênn
1077,51040,又唸作,pòo-buán
1078,51055,又唸作,liû-sing
1079,51057,又唸作,hua̍t-li̍k
1080,51061,又唸作,bí-biāu
1081,51110,又唸作,hun-lî
1082,51134,又唸作,thiat-ha̍k
1083,51158,又唸作,bô-hîng
1084,51167,又唸作,khài-hóng
1085,51201,又唸作,siu-lio̍k
1086,51213,又唸作,liû-thîng
1087,51221,又唸作,mn̄g-kǹg
1088,51272,又唸作,Ji̍t-ki̍k/Li̍t-ki̍k
1089,51281,又唸作,bîng-sû
1090,51338,又唸作,uī-i̍k
1091,51353,又唸作,tāi-to-sòo
1092,51373,又唸作,jio̍k-thé/lio̍k-thé
1093,51375,又唸作,tshuan-bîn
1094,51389,又唸作,khik-kuan
1095,51411,又唸作,tsuan-lâng
1096,51449,又唸作,lio̍k-tsè
1097,51460,又唸作,kìng-guân
1098,51471,又唸作,lāi-tsāi
1099,51525,又唸作,kim-khiok
1100,51526,又唸作,hîng-lio̍k
1101,51540,又唸作,tî-kuân
1102,51548,又唸作,kiông-kuân
1103,51551,又唸作,tshui-tián
1104,51582,又唸作,huè-khì-bu̍t
1105,51636,又唸作,pu̍t-tsu
1106,51661,又唸作,tsóo-la̍t
1107,51663,又唸作,sìn-lāi
1108,51678,又唸作,ti̍k-phài-guân
1109,51740,俗唸作,tsiàn-kàm
1110,51785,又唸作,kau-hiáng-khik
1111,51788,又唸作,hîng-kìng
1112,51797,又唸作,Pu̍t-tián
1113,51812,又唸作,hòng-ká
1114,51820,又唸作,tsa-sûn
1115,51830,又唸作,tiông-pòo
1116,51839,又唸作,hái-i̍k
1117,51898,又唸作,niá-tuī
1118,51908,又唸作,suán-īng
1119,51915,又唸作,sing-uān
1120,51923,又唸作,jîn-bīng
1121,51962,又唸作,kái-īng
1122,51972,又唸作,pun-pho
1123,51998,又唸作,tsa-khàn
1124,51999,又唸作,siong-pí
1125,51999,又唸作,sann-pí
1126,52021,又唸作,siok-sià
1127,52032,又唸作,bo̍k-bîng-kî-biāu
1128,52065,又唸作,lōo-phiau
1129,52079,又唸作,ki̍k-thuân
1130,52099,又唸作,gī-thîng
1131,52112,又唸作,tiong-kàu
1132,52124,又唸作,ji̍t-thîng/li̍t-thîng
1133,52167,又唸作,iû-tông-hue
1134,52220,又唸作,tshui-kí/tshui-kú
1135,52225,又唸作,phiò-kuàn
1136,52245,又唸作,bô-lîng
1137,52257,俗唸作,kìng-phuè
1138,52285,又唸作,phiau-kì
1139,52319,俗唸作,kàm-tuī
1140,52339,又唸作,tiong-su
1141,52340,又唸作,lāi-bōo
1142,52345,又唸作,siáu-tsiòng
1143,52350,又唸作,bûn-khū
1144,52353,又唸作,gue̍h-tâi
1145,52382,又唸作,huê-hiáng
1146,52412,又唸作,sìng-bîng
1147,52427,又唸作,huat-kìng
1148,52444,又唸作,phín-tsióng
1149,52450,又唸作,tsa-tshut
1150,52453,又唸作,phài-tsū
1151,52560,又唸作,phiau-tsì
1152,52561,又唸作,phiau-tê/phiau-tuê
1153,52594,又唸作,siōng-kàu
1154,52600,又唸作,tuā-sū
1155,52636,又唸作,pênn-thán/pînn-thán
1156,52641,又唸作,hiong-tshiú
1157,52662,又唸作,pu̍t-king
1158,52668,又唸作,hóo-tīng
1159,52680,又唸作,hông-uī
1160,52691,又唸作,sóo-iú-kuân
1161,52713,又唸作,āu-uē
1162,52717,又唸作,tsa-khàu
1163,52718,又唸作,tsa-hong
1164,52736,又唸作,thiat-lí
1165,52744,又唸作,hu̍t-tsú
1166,52783,又唸作,kàu-huat
1167,52796,又唸作,pò-kìng
1168,52804,又唸作,pit-lio̍k
1169,52819,又唸作,bî-biāu
1170,52842,又唸作,hî-tshuan/hû-tshuan
1171,52845,又唸作,bāng-i̍k
1172,52850,又唸作,koh-guân
1173,52854,又唸作,huè-tsuí
1174,52855,又唸作,huè-tû
1175,52886,又唸作,sài-thîng
1176,52899,又唸作,tóng-guân
1177,52931,又唸作,thian-hōo
1178,52935,又唸作,siáu-kàu
1179,52981,又唸作,miâ-i
1180,52983,又唸作,huê-thîng/hê-thîng
1181,52996,又唸作,ū-hîng
1182,52997,又唸作,iú-iân
1183,53005,又唸作,Pu̍t-huat
1184,53059,又唸作,pán-kuân
1185,53061,又唸作,siā-guân
1186,53153,又唸作,tshái-kǹg
1187,53162,又唸作,tshui-sǹg
1188,53166,又唸作,kàu-khū
1189,53200,又唸作,kiat-tsing
1190,53209,又唸作,khai-tî
1191,53215,又唸作,hn̂g-tē/hn̂g-tuē
1192,53280,又唸作,uī-kàu
1193,53297,又唸作,ki̍k-tōng
1194,53313,又唸作,kiám-kìng
1195,53333,又唸作,siang-tsàn
1196,53340,又唸作,kìng-pio
1197,53389,又唸作,gōo-sing-kip
1198,53431,又唸作,tsuí-i̍k
1199,53474,又唸作,bó-gí/bó-gú
1200,53485,又唸作,kau-hiáng-ga̍k
1201,53489,又唸作,tsuân-thîng
1202,53499,又唸作,hó-iōng
1203,53503,又唸作,siú-uī
1204,53518,又唸作,hóo-kuat
1205,53521,又唸作,biāu-hng
1206,53556,又唸作,pun-tsáu
1207,53591,又唸作,ui-kuân
1208,53690,又唸作,kàu-tsit-guân
1209,53727,又唸作,tsiáng-kuán
1210,53764,又唸作,ò-biāu
1211,53777,又唸作,khe-liû/khue-liû
1213,53828,又唸作,huè-khì
1214,53829,又唸作,huè-pio
1215,53836,又唸作,phiau-tiám
1216,53841,又唸作,pian-ki̍k
1217,53852,又唸作,ha̍k-tióng
1218,53883,俗唸作,phiah-lān
1219,53901,又唸作,kíng-uī
1220,53906,又唸作,kuân-sè
1221,53938,又唸作,siáu-piān
1222,53955,又唸作,guân-nóo
1223,54038,又唸作,īng-huat
1224,54053,又唸作,miâ-ū
1225,54058,又唸作,tē-phiau/tuē-phiau
1226,54075,又唸作,tsū-uī
1227,54079,又唸作,hâng-guân
1228,54082,又唸作,Pu̍t-ha̍k
1229,54089,又唸作,gôo-kueh-hî/gôo-kueh-hû
1230,54102,又唸作,tshuan-tiúnn
1231,54161,又唸作,hù-lio̍k
1232,54170,又唸作,tsiân-thîng
1233,54190,又唸作,tsa-bîng
1234,54191,又唸作,tsa-tsìng
1235,54195,又唸作,liû-i̍k
1236,54198,又唸作,lâu-pio
1237,54204,又唸作,siong-liân
1238,54262,又唸作,siā-thîng
1239,54290,又唸作,phò-tî
1240,54303,又唸作,hâng-thîng
1241,54304,又唸作,hâng-kuân
1242,54312,俗唸作,huê-phiah
1243,54344,又唸作,sok-miā
1244,54347,又唸作,tsuan-guân
1245,54363,又唸作,tshui-àn
1247,54455,又唸作,tshâi-guân
1248,54470,又唸作,tsi̍p-kuân
1249,54517,又唸作,uē-ki̍k
1251,54537,又唸作,pá-buán
1252,54579,又唸作,ki̍k-īnn
1253,54586,又唸作,huè-khì
1254,54597,又唸作,phiau-bîng
1255,54609,又唸作,uī-ping
1256,54620,又唸作,tsū-kun
1257,54629,又唸作,ting-khū
1258,54642,又唸作,lio̍k-iōng
1259,54644,又唸作,gím-piau
1260,54676,又唸作,lī-sàn
1261,54677,又唸作,lī-tsit
1262,54721,又唸作,pà-kuân
1263,54740,又唸作,tāi-pōo-hūn
1264,54763,又唸作,guân-guē
1265,54785,又唸作,tsióng-kǹg
1266,50609,又唸作,gû-lo̍k
1267,52621,又唸作,tsuí-tshiú
1268,54661,又唸作,tuān-tīng
1269,8750,又唸作,huat-gê
1270,50345,又唸作,sòo-biâu
1271,50360,又唸作,tái-tôo
1272,51875,又唸作,khai-pò
1273,54654,又唸作,liân-pò
1274,50645,又唸作,pò-hòng
1275,50408,又唸作,pò-tshut
1276,51238,又唸作,thuân-pò
1277,53324,又唸作,tiám-pò
1278,51830,又唸作,tîng-pò
1279,51830,又唸作,tiông-pò
1280,54146,又唸作,ti̍t-pò
1281,54570,又唸作,tsè-pò
1282,54000,又唸作,tsú-pò
1283,51456,又唸作,tsuán-pò
1284,50414,又唸作,hu̍t-sim
1285,50477,又唸作,kìng-tsing-li̍k
1286,50603,又唸作,tsīng-í
1287,51896,又唸作,í-huē
1288,50725,又唸作,thuân-guân
1289,50780,又唸作,guân-kíng
1290,50929,又唸作,siong-iông
1291,50988,又唸作,tî-liáu
1292,51093,又唸作,î-siu
1293,50482,又唸作,îng-î
1294,51166,又唸作,gia̍p-î
1295,51256,又唸作,liâu-thîng
1296,51274,又唸作,pîng-tâi
1297,51436,俗唸作,póo-sióng
1298,51444,又唸作,po̍k-tōng
1299,53835,又唸作,po̍k-luān
1300,50799,又唸作,po̍k-li̍k
1301,51515,又唸作,phênn-sòo/phînn-sòo
1302,51645,又唸作,hióng-iú
1303,51749,又唸作,siâm-su
1304,51775,又唸作,khì-tî
1305,51862,又唸作,tshing-tî
1306,52013,又唸作,tô-senn/tô-sinn
1307,52066,又唸作,thiàu-uán
1308,52357,又唸作,tsú-tsái
1309,52363,又唸作,puàn-sòo
1310,52395,又唸作,san-tî
1311,52496,又唸作,tsiap-tsiáng
1312,52499,又唸作,tshing-sǹg
1313,52581,又唸作,tn̄g-kau
1314,52609,又唸作,kong-tsiànn
1315,52730,又唸作,bīn-tâm
1316,52855,又唸作,huì-tî
1317,52855,又唸作,huè-tî
1318,52881,又唸作,ìng-tong
1319,53160,又唸作,sàu-tî
1320,53322,又唸作,thuàn-liān
1321,53559,又唸作,giâm-tsio̍h
1322,51261,又唸作,phan-gâm
1323,53899,又唸作,kìng-kuann
1324,53900,又唸作,kìng-tiúnn
1325,53917,又唸作,it-iā-tsîng
1326,54643,又唸作,lio̍k-iánn
1327,54673,又唸作,tsuán-sok
1328,54701,又唸作,kìng-ki
1329,54704,又唸作,kìng-kio̍k
1330,54705,又唸作,kìng-tshia
1331,54718,又唸作,hōo-nuâ
1332,54714,又唸作,lân-uī
1333,51547,又唸作,tsuan-lân
1334,54796,又唸作,buán-luí
1335,12228,又唸作,kiong-si
1336,10546,又唸作,thài-tōo
1337,1923,又唸作,bo̍k-tik
1338,13442,又唸作,go̍k-hî/go̍k-hû
1339,10806,又唸作,hua̍t-khuánn
1340,8317,又唸作,tiō
1341,8317,又唸作,tio̍h
1342,4145,又唸作,phō-khiám
1344,13491,又唸作,si̍p
1345,13492,又唸作,si̍p--tsi̍t-ē
1346,11752,又唸作,ki-kài
1347,7241,又唸作,tit-ì
1348,7215,又唸作,tit-sit
1349,7244,又唸作,tit-tsuē
1350,7209,又唸作,tik-lâng-sioh
1351,7208,又唸作,tik-lâng-thiànn
1352,7240,又唸作,tik-sè
1353,54357,又唸作,tit-phiò
1354,51223,又唸作,tit-phiò-lu̍t
1355,50461,又唸作,tshú-tik
1356,50756,俗唸作,tsíng-kô
1357,12446,又唸作,hâinn
1358,5121,又唸作,ta-poo
1359,5124,又唸作,ta-poo gín-á
1360,8317,又唸作,to̍h
1361,9291,又唸作,pn̄g-a̍p-á
1362,11508,又唸作,tàm
1363,2032,又唸作,pe̍h-tiò
1364,9413,俗唸作,thôo-kak
1365,9414,俗唸作,thôo-kak-tshù
1366,11137,又唸作,pò
1367,13339,又唸作,thé-biān
1369,1049,又唸作,khiàm-khuat
1370,2651,又唸作,bí-lin
1371,1240,又唸作,gû-lin-sik
1372,1242,又唸作,gû-lin-thn̂g
1373,1241,又唸作,gû-lin-tshuì-á
1374,1238,又唸作,gû-lin
1375,4448,又唸作,hàng-lin
1376,9680,又唸作,ik-lin
1377,643,又唸作,lāi-lin
1378,1704,又唸作,lin-bú-tshia
1379,1698,又唸作,lin-bú
1380,1830,又唸作,lin-gâm
1381,1736,又唸作,lin-phè-á
1382,1824,又唸作,lin-thâu
1383,1781,又唸作,lin-tshuì-á
1384,1647,又唸作,lin
1385,7504,又唸作,suh lin
1386,3430,又唸作,tāu-lin
1387,11441,又唸作,ti-bó-lin-á
1388,12526,又唸作,tn̄g-lin
1389,6575,又唸作,tshàu-lin-tai
1390,10335,又唸作,tshī-lin
1391,11743,又唸作,tshiū-lin-thn̂g
1392,11742,又唸作,tshiū-lin
1393,5602,又唸作,tsia̍h-lin
1394,53466,又唸作,lin-tê
1395,51777,又唸作,lin-tsuí
1396,7125,又唸作,siánn-mi̍h
1397,8660,又唸作,bô-siánn-mi̍h
1398,5609,又唸作,hui-lîng-ki
1399,5609,又唸作,pue-lîng-ki
1400,3923,又唸作,phīnn-phīnn-tshuán
1401,3923,又唸作,phīnn-phēnn-tshuán
1402,3923,又唸作,phīnn-phānn-tshuán
1403,30007,又唸作,li̍p-hā
1404,10431,又唸作,go̍k-hî/go̍k-hû
1405,4820,又唸作,tih-beh/tih-bueh
1406,9779,又唸作,tng-tih
1407,3096,又唸作,Siòng-kang-tīn
1408,50107,又唸作,hū-kīn/hū-kūn
1409,52173,又唸作,hū-ka
1410,50697,又唸作,hū-siat
1411,52706,又唸作,hū-sio̍k
1412,52436,又唸作,hū-tài
1413,51967,又唸作,i-hū
1414,50095,又唸作,tshing-tshóo
