序號,主編碼,又音,又音類型(1.又唸作 2.俗唸作 3.合音唸作)
2,43,tsi̍t-táu-kú-á,1
3,72,tsa̍p-jī-tsí-tn̂g/tsa̍p-lī-tsí-tn̂g,1
4,76,tshit-si̍k,1
5,81,tiau-kang,1
6,123,thiau-tî,1
7,124,thiau-kòo-ì,1
8,129,jîn-guân/lîn-guân,1
9,141,jîn-sam/lîn-sam,1
10,141,jîn-som/lîn-som,1
11,160,ji̍p-ha̍k/li̍p-ha̍k,1
12,167,tiau-lân,1
13,168,jîn-kuân/lîn-kuân,1
14,184,ā,1
15,187,hān,1
16,232,siāng-kú,1
17,252,siáu-thiúnn-á,1
18,263,thóo-ba̍k,1
19,287,siāng-ke,1
20,307,kiú-ióng,2
21,314,siāng hó,1
22,315,ā-hó,1
23,317,Thóo-lī-kong,1
24,354,siáu-jî-kho/siáu-lî-kho,1
25,359,tuā-tsé,1
26,372,ē-hng,1
27,372,enn-hng,1
28,372,i̋ng,3
29,374,enn-hng-àm,1
30,374,ing-àm,3
31,381,tshiūnn-tshenn-tî/tshiūnn-tshinn-tî,1
32,393,ā sī,1
33,439,e-tàu,1
34,439,ēnn-tàu,1
35,440,e-poo,1
36,456,kan-tann,1
37,456,kan-ta,1
38,459,kang-thîng,1
39,460,kang-thîng-su,1
40,464,thóo-pa̍t-á,1
41,470,suann-sì,1
42,472,enn-àm,1
43,484,tuā-bak-tóo,1
44,507,siāng kín,1
45,510,siāng-kài,1
46,511,siáu-suat,1
47,535,ē-huâi,1
48,536,tuā-o̍h,1
49,537,sió-o̍h,1
50,544,siāng-thâu-á,1
51,545,tuā-thâu-bó,1
52,551,siāng tsē/siāng tsuē,1
53,552,tsiūnn-siann,1
54,552,siōng-siann,1
55,559,ē-khok,1
56,559,ē-gok,1
57,623,lāi-sim,1
58,637,ta̋nn,3
59,645,kang-bú,1
60,652,hoo,3
61,685,lāi-tsìng,1
62,705,lāi-iông,1
63,719,put-tit-liáu,1
64,720,put-tit-í,1
65,729,lāi-pōo,1
66,732,kong-ú,2
67,744,pun-khui,1
68,765,lāi-koh,1
69,769,tiong-o̍h,1
70,790,páinn,1
71,791,jīm/līm,1
72,817,phái,1
73,820,moo,1
74,835,tshiú-ē,1
75,847,thian-tsénn/thian-tsínn,1
76,881,thài-phîng,1
77,884,tsuí-bú,1
78,888,khiàm-iōng,1
79,890,tsuí-tiân,1
80,905,thian-tē/thian-tuē,1
81,928,bo̍k-jí,1
82,928,bo̍k-mí,1
83,931,m̄-niā,1
84,942,bo̍k-tshâi,1
85,958,hong-gân,1
86,999,m̄-ti̍nnh,1
87,1027,ngóo-sî,1
88,1029,thinn-sî,1
89,1031,m̄ pat,1
90,1036,bûn-si,1
91,1057,sim-tsiânn,1
92,1061,sin-sóng,1
93,1062,thinn-lí,1
94,1067,bûn-tsiunn,1
95,1075,bo̍k-mâ-hông,1
96,1079,phí-jū/phí-lū,1
97,1104,thian-ì,1
98,1118,pháinn-bak-tóo,1
99,1124,m̄-kò,1
100,1124,m̄-kù,1
101,1140,tshiú-tsí-phōo-á,1
102,1166,bûn-pîn,1
103,1197,píng-lìn-tńg,1
104,1202,suí-ke/suí-kue,1
105,1213,tshiú-long,1
106,1239,gû-bú,1
107,1272,gû-tshuì-lam,1
108,1301,hué-ke-bú/hé-kue-bú,1
109,1315,kâng,1
110,1336,hiann-tī-tsí-muāi,1
111,1345,kāng-pē-koh-bó,1
112,1361,tāi-si,1
113,1362,tshian-tsháu,1
114,1377,tshé-bān,1
115,1385,tsú-kuân,1
116,1400,khá,1
117,1408,tho,1
118,1415,khónn,1
119,1422,puànn-thenn-tó,1
120,1448,sù-hong,1
121,1492,khónn-phànn,1
122,1502,puànn-sìn-puànn-gî,1
123,1519,tshut-tshe,1
124,1532,khónn-lîng,1
125,1545,ke-thinn,1
126,1560,khónn-ònn,1
127,1561,khónn-náu,1
128,1602,sì-khoo-lìn-tńg,1
129,1630,khiò-siā,1
130,1690,tsiann-gue̍h/tsiann-ge̍h,1
131,1696,bó-á-kiánn,1
132,1698,ling-bó/ni-bó,1
133,1704,ling-bó-tshia/ni-bó-tshia,1
134,1708,bó-kiánn-í,1
135,1717,bó-kīm,1
136,1719,tá-pān,1
137,1725,bú-sin,1
138,1739,bú--ê,1
139,1742,bú-kim,1
140,1759,ka-tsiah,1
141,1761,ka-tsiah-āu,1
142,1762,ka-tsiah-phiann,1
143,1764,tiám-má-ka,1
144,1765,tiám-má-ka-lōo,1
145,1770,tá-thàm,1
146,1772,tá-tháng,1
147,1775,tsiànn-thóng,1
148,1779,tsiànn-tôo,1
149,1805,bó-kū,1
150,1806,bó-kū-kong,1
151,1812,sit-ngōo,1
152,1820,bió-tshin,1
153,1820,bóo-tshin,1
154,1823,bó-tsînn,1
155,1828,tá-kik,1
156,1835,tá-jiáu/tá-liáu,1
157,1842,bó-thé,1
158,1843,sit-thé-biān,1
159,1877,pe̍h-lāi-tsiòng,1
160,1881,pe̍h-bo̍k-jí,1
161,1882,gio̍k-á,1
162,1892,tshenn-hūn/tshinn-hūn,1
163,1893,tshenn-hūn-lâng/tshinn-hūn-lâng,1
164,1900,senn-tsiânn/sinn-tsiânn,1
165,1909,tsio̍h-gám,1
166,1926,ba̍k-tsîng,1
167,1949,pi̍k-tài,1
168,1969,si̍k-kám-tong,1
169,1987,ba̍k-tsia̍p-mn̂g,1
170,2008,bo̍k-phiau,1
171,2023,bo̍k-lio̍k,1
172,2069,sin-senn,1
173,2069,sian-senn,1
174,2070,sin-senn-niû,1
175,2070,sian-senn-niû,1
176,2071,sin-senn-má,1
177,2071,sian-senn-má,1
178,2159,gín-á-siàng,1
179,2204,uî-kip,2
180,2209,ha̍p-ke,1
181,2220,miâ-bōng,1
182,2238,ìn-sióng,2
183,2258,tông-o̍h,1
184,2259,uî-ki,2
185,2263,huî-hiám,1
186,2263,uî-hiám,2
187,2284,jî/lî,1
188,2289,tsiúnn,1
189,2297,nî,1
190,2309,tshûn-sim,1
191,2318,jī-bó/lī-bó,1
192,2328,jî-tshú/lî-tshú,1
193,2330,jî-tshú-jî-tshú/lî-tshú-lî-tshú,1
194,2343,Jû-lâi-hu̍t-tsóo/Lû-lâi-hu̍t-tsóo,1
195,2350,tsiúnn khang-pâng,1
196,2359,an-ke,1
197,2386,tsûn-khuánn,1
198,2406,tsiúnn-kuánn,1
199,2417,an-iúnn,1
200,2485,sí-gín-á-thenn,1
201,2517,tsái-sî-á,3
202,2528,tsái-khí,2
203,2529,tsái-khí-tǹg,2
204,2530,khàu-tî,1
205,2559,ū-lōo-iōng,1
206,2561,tsái-tǹg,2
207,2605,jí,1
208,2639,iûnn-môo-sann,1
209,2652,iûnn-bú,1
210,2654,lāu-bó,1
211,2658,jí-bo̍k,1
212,2750,kang-ngôo,1
213,2756,lāu-huan-thian,1
214,2779,hiat-lōo,1
215,2812,bí-ko-muâi,1
216,2853,se-sit,1
217,2875,tá,1
218,2876,tah,1
219,2894,tshng-tshiú,1
220,2898,pu̍t-tshiú-kue,1
221,2900,hu̍t-á,1
222,2907,tuē,3
223,2930,Hu̍t-tsóo,1
224,2932,pu̍t-tn̂g,1
225,2933,Pu̍t-kàu,1
227,2944,pu̍t-siōng,1
228,2945,tsoh-piah,2
229,2993,khi̍p-tsio̍h,1
230,3008,lī-sit,1
231,3040,gám-á,1
232,3046,kham-kham-khia̍t-khia̍t,2
233,3060,tsē-siâm,1
234,3064,biāu,1
235,3119,hi-bōng,1
236,3151,bông,1
237,3156,náu,1
238,3160,gîm,1
239,3161,pan,1
240,3161,penn,1
241,3171,khī-ji̍t/khī-li̍t,1
242,3173,Tshn̂g-bó,1
243,3174,gió kha-tshng,1
244,3176,pí-iū,1
245,3178,kī-tshn̂g,1
246,3184,khuànn-ua̍h,1
247,3189,jím-khì,1
248,3203,pan--kuè-lâi/pan--kè-lâi,1
249,3203,penn--kuè-lâi/penn--kè-lâi,1
250,3217,iah,1
251,3217,a̍h,1
252,3217,ah,1
253,3234,tshuan,1
254,3250,iah-sī,1
255,3250,a̍h-sī,1
256,3250,ah-sī,1
257,3256,tshâi-liāu,1
258,3259,tōo-ún-á,1
259,3285,phue-long,1
260,3294,thài,1
261,3296,tiâm,1
262,3334,sua-bôo,2
263,3401,gân,1
264,3415,gún,1
265,3442,tāu-jí/tāu-lí,1
266,3442,tāu-jínn,1
267,3457,kìnn-nā,1
268,3472,tsáu-tshiàng,1
269,3483,tshia-tsiáng,1
270,3552,laih,3
271,3552,la̋i,3
272,3560,jí-miâ/lí-miâ,1
273,3564,hióng-siū,1
274,3567,phuè-ho̍k,2
275,3568,kai-tsài,1
276,3584,ân-phiánn,3
277,3584,iân-phiánn,3
278,3585,ân-suànn,3
279,3585,iân-suànn,3
280,3587,hióng-hok,1
281,3590,i-lāi,1
282,3650,tsik-peh-tsí-muāi,1
283,3671,siūnn-khì,1
284,3685,siū-tng-bē-khí/siū-tng-buē-khí,1
285,3691,hia̍p-tiāu,1
286,3693,tshì-khik,1
287,3712,hâm,1
288,3717,phênn/phînn,1
289,3717,phiânn,1
290,3722,thán-pe̍h,1
291,3785,tsé-hu,1
292,3787,tsé--á,1
293,3790,Tsiáu-bó,1
294,3795,kî-biāu,1
295,3796,tsí-muāi,1
296,3797,tsí-muāi-á-phuānn,1
297,3801,uí-guân,1
298,3856,kuann-guân,1
299,3857,tiàm-guân,1
300,3861,tīng-tsò/tīng-tsuè,1
301,3870,kuì-tsiat,1
302,3906,íng-ji̍t/íng-li̍t,1
303,3914,íng-nî,1
304,3938,hit-hō,1
305,3954,piann,1
306,3959,liu,1
307,4000,phàng-kiàn,3
308,4000,phàng-kìnn,3
309,4019,khioh-kiánn-bó,1
310,4028,piànn-hueh/piànn-huih,1
311,4035,té-khòng,1
312,4049,té-ah,1
313,4061,phah-ka-tshiùnn,1
314,4069,tsiau-tāi,1
315,4085,pàng-sat,1
316,4102,sóo-tit,1
317,4103,sóo-tit-suè/sóo-tit-sè,1
318,4105,tú-bueh,1
319,4113,phah-mâ-tshiok,1
320,4113,phah-bâ-tshiok,1
321,4138,phah-pōng-siû,1
322,4145,phō-khiam,2
323,4161,thiu-ti-bú-suè/thiu-tu-bú-sè,1
324,4174,phann-lìn-táu,1
325,4190,liu-tshiam,1
326,4194,liu-khau,1
327,4220,miâ-á-ji̍t/miâ-á-li̍t,1
328,4222,miâ-á-tsá-khí,1
329,4222,bîn-á-tsái-khí,2
330,4223,miâ-á-àm,1
331,4224,miâ-á-tsài,1
332,4227,mâ-nî,1
333,4227,muâ-nî,1
334,4231,Nâ-tâu-tsé--á,1
335,4238,bîng-sing,1
336,4253,ná-pa̍t-á,1
337,4255,ia̍h-king,1
338,4261,tsím-thâu-long,1
339,4322,ám-muâi-á,1
340,4335,tsháu,1
341,4339,pa,1
342,4346,káu-kām-á,1
343,4355,káu-bú,1
344,4356,káu-bú-hî/káu-bú-hû,1
345,4514,í,1
346,4526,khiû-moo,1
347,4526,khiû-môo,1
348,4528,bûn-hōo,1
349,4540,a-bó,1
350,4550,tióng-ló,1
351,4569,piáu-tsé,1
352,4571,a-tsé,1
353,4574,a-pa,1
354,4574,a-pâ,1
355,4621,gîng-tsih,1
356,4621,ngiâ-tsih,1
357,4648,kim-póng,1
358,4658,giâ-nāu-jia̍t/giâ-nāu-lia̍t,1
359,4660,giâ-ting,1
360,4674,mn̂g-nî,1
361,4697,piān-muî-lâng,1
362,4725,pó-tsìng,1
363,4728,sìn-ióng,2
364,4746,kuàn-kun,1
365,4767,pó-uī,1
366,4787,leh,1
367,4809,ai-pē-kiò-bó,1
369,4849,khè-bó,1
370,4863,im-iân,2
371,4877,tōo-sió-gua̍t,1
372,4892,sái-pe-khí,1
373,4893,pang-tiâu,1
374,4932,hiō-tāi,1
375,4937,āu-bó,1
376,4939,āu-bó-bīn,1
377,4962,phián-si̍t,1
378,4966,hōo-hué,1
379,4973,hue-ho̍k,2
380,4975,hiō-sû,2
381,4982,tsáinn-iūnn,1
382,4983,āu-puè,1
383,4985,pín-tann,1
384,5014,ia̍h,1
385,5029,ia̍h-sái,1
386,5032,tsa̍h-hng,1
387,5032,tsa̋ng,3
388,5035,sū-hui,2
389,5038,án-nuá,1
390,5038,án-ná,1
391,5047,àn-be̍h,1
392,5056,ia̍h-tio̍h,1
393,5062,tshun-tsiat,1
394,5066,kòo-tsiòng,1
395,5068,thiau-tsiàn,1
396,5076,tsìng-kuân,1
397,5095,móo-mí-lâng,1
398,5112,tsa̋u-kán,3
399,5113,tsa̋u-lâng,3
400,5114,tsa̋u-kiánn,3
401,5115,tsa̋u-gín-á,3
402,5117,tsa̋u-sun,3
403,5119,tsa̋u-king,3
404,5153,khò-huānn,1
405,5178,khó-thâu-muâi,1
406,5196,liû-suí,1
407,5196,lâu-suí,1
408,5209,ua̍h-tōng,1
409,5210,ua̍h-bueh,1
410,5220,tsà-tân,1
411,5221,ua̍t-phuat,1
412,5236,kuì,1
413,5242,siang,1
414,5243,siàng,1
415,5246,sio-siâng,1
416,5248,siùnn-kang,1
417,5251,sio-kâng,1
418,5259,sann-kìnn,1
419,5269,sann-tsenn/sann-tsinn,1
420,5283,sio-pat,1
421,5298,suan-lôo,1
422,5311,sann-su,1
423,5317,sio-jióng,1
424,5353,tshio-tshìn,1
425,5354,kho-guân,1
426,5365,thu̍t-jiân/thu̍t-liân,1
427,5375,phînn-sng,1
428,5402,âng-bûn-thôo,1
429,5408,nāi-īng,1
430,5444,uī-huì-iông,1
431,5444,uī-huī-iông,1
432,5472,ām,1
433,5504,ná-tshan-tshiūnn,1
434,5555,kè-tîng-tshia,1
435,5555,khè-thîng-tshia,1
436,5572,kè-biô,1
437,5578,kun-kàm,2
438,5620,tsia̍h-mi̍h/tsia̍h-mn̍gh,1
439,5621,hong-hōo,1
440,5635,tsia̍h-ka-tī,1
441,5652,hui-niáu,1
442,5659,hiunn-koo-bah-muâi,1
443,5751,tsioh-īng,1
444,5769,hāu-be̍h,1
445,5794,hiō-suán-jîn/hiō-suán-lîn,1
446,5800,tshìn-muâi,1
447,5811,guân,1
448,5821,--hmh,1
449,5834,nà-buē/nà-bē,1
450,5848,khàu-pē-khàu-bó,1
451,5852,ko-ko,1
452,5920,ka-tī,1
453,5921,ka-tī-lâng,1
454,5923,tsha̋u-to,3
455,5923,tsha̋u,3
456,5928,sai-hiann,1
457,5930,su-bó,1
458,5946,tshe-kah,1
459,5950,tián-khui,1
460,5957,kiong-biō,1
461,5991,in-tsîng,1
462,5996,in-ài,1
463,6000,kûn-thâu-bó,1
464,6014,pat,1
465,6019,pô,1
466,6022,ji̍h,1
467,6036,pat-jī/pat-lī,1
469,6053,bán-be̍h,1
470,6066,pat-huè/pat-hè,1
471,6073,pat-siūnn,1
472,6077,ji̍h tiān-lîng,1
473,6091,tshia-lìn-táu,1
474,6099,si,1
475,6143,sâ-se,1
476,6147,hu̍t-lîng,1
477,6171,hop,1
478,6185,kit-á,1
479,6196,hái-gān,1
480,6201,tsìng-khī,2
481,6210,hái-iang,1
482,6212,phû-thām,1
483,6213,hái-sam,1
484,6213,hái-som,1
485,6214,thài-kok-pa̍t-á,1
486,6219,hái-sán-muâi,1
487,6232,hái-tiùnn,1
488,6260,oo-mng,1
489,6300,oo-muâi-á-tsiú,1
490,6328,oo-lo̍k-tōo,1
491,6343,oo-niau-tsé--á,1
492,6347,oo-lîng-á,1
493,6353,ti̍k-kuân,1
494,6354,liông,1
495,6377,liông-puē,1
496,6411,mn̂g-tshn̂g,1
497,6420,pì-si,1
498,6431,phuà-khui,1
499,6442,phò-hāi,1
500,6457,sîn-tsí-pâi-á,1
501,6481,hún-tshiân,2
502,6527,pê-kut,1
503,6542,sua-thang,1
504,6552,be̍h,1
505,6555,tsn̄g,1
506,6555,tsī,1
507,6576,ka-pe̍h-sún,1
508,6620,tshàu-tshènn-kong/tshàu-tshìnn-kong,1
509,6659,bē-īng-tsit/buē-īng-tsit,1
510,6659,bē-īng-lit/buē-īng-lit,1
511,6659,bē-īng-eh/buē-īng-eh,1
512,6666,bē-saih/buē-saih,1
513,6667,bē-saih-tsit/buē-saih-tsit,1
514,6667,bē-saih-lit/buē-siah-lit,1
515,6667,bē-saih-eh/buē-saih-eh,1
516,6669,lāi-tsi,1
517,6675,bē-kì-tsit/buē-kì-tsit,1
518,6675,bē-kì-lit/buē-kì-lit,1
519,6675,bē-kì-eh/buē-kì-eh,1
520,6679,bē-kham-tsit/buē-kham-tsit,1
521,6679,bē-kham-lit/buē-kham-lit,1
522,6679,bē-kham-eh/buē-kham-eh,1
523,6684,bē-hiáng/buē-hiáng,1
524,6687,bē-kóng-tsit/buē-kóng-tsit,1
525,6687,bē-kóng-lit/buē-kóng-lit,1
526,6687,bē-kóng-eh/buē-kóng-eh,1
527,6751,suan-siah,1
528,6758,khí-tshìn-mooh,1
529,6771,khí-tîng,1
530,6782,khí-tiànn,1
531,6794,suan-siâu,1
532,6796,khí-bé,1
533,6803,tô-phiah,2
534,6805,khí-ke-bú-phuê/khí-kue-bú-phê,1
535,6830,má-siāng,1
536,6842,tî-miâ,1
537,6850,ko-siōng,1
538,6887,siám-khui,1
539,6906,tàu-nāu-jia̍t/tàu-nāu-lia̍t,1
540,6916,siám-phiah,2
541,6925,ko-lê-sam,1
542,6925,ko-lê-som,1
543,6934,juā,1
544,6934,luā,1
545,7001,tsò-tsng/tsuè-tsng,1
546,7012,juā-nī,1
547,7012,luā-nī,1
548,7022,juā-tsē/juā-tsuē,1
549,7022,luā-tsē/luā-tsuē,1
550,7056,sam-á,1
551,7056,som-á,1
552,7066,tōng-guân,1
553,7069,som-jiông/som-liông,1
554,7072,khu-i̍k,1
555,7082,tsham-siâng,1
556,7085,siong-piau,1
557,7092,sánn,1
558,7106,siáng,3
559,7106,siâng,3
560,7116,kàu-iōng,1
561,7168,tsiàng-tsâi,1
562,7192,siok-bo̍k,2
563,7197,tsuan-kuân,1
564,7231,khong-kiānn,1
566,7295,tshinn-tshám,1
567,7296,tshinn-tshám-lo̍k-phik,1
568,7297,sioh-hok,1
569,7300,tsîng-sû,1
570,7339,kháinn,1
571,7347,kuà-sim,1
572,7358,tshái-īng,1
573,7364,tshui-hîng,1
574,7374,sàu-tsiú,1
575,7374,sàu-siú,1
576,7376,sàu-tsiú-tshenn/sàu-tsiú-tshinn,1
577,7376,sàu-siú-tshenn/sàu-siú-tshinn,1
578,7380,am-ko̍k-ke/am-ko̍k-kue,1
579,7383,kàu-guân,1
580,7407,tshui-tshik,1
581,7414,tshui-tsìn,1
582,7428,tshui-kóng,1
583,7429,khuà-lī/khuà-lū,1
584,7430,thui-tshiâu,1
585,7431,tshui-lūn,1
586,7432,tshui-siau,1
587,7442,tshái-káng,2
588,7446,tsiap-sio̍k,2
589,7467,muâi,1
590,7471,muâi-á,1
591,7472,muâi-á-piánn,1
592,7478,muâi-to̍k,1
593,7507,bueh-sí-bueh-ua̍h,1
594,7508,bueh-nî,1
595,7510,bueh-tsai,1
596,7521,tiâu-khuánn,1
597,7525,bueh-àm-á,1
598,7529,khì-kuân,1
599,7570,khín-bîn,1
600,7590,tshing-muâi,1
601,7613,hiān-tsú-sî,1
602,7630,kiû-pe,1
603,7672,a̍h-á,1
604,7684,gán-tsîng,1
605,7734,tsiong-tîng,1
606,7752,siu,1
607,7798,siāu-hin-tsiú,1
608,7822,tsûn-guân,1
609,7823,pôo-pôo,1
611,7833,thuat-lî,1
612,7908,phuē-long/phē-long,1
613,7988,phuà-huè/phuà-hè,1
614,7991,pûn-tuānn,1
615,7991,pân-tuānn,1
616,7991,pān-tuānn,1
617,7992,pûn-tuānn-kut,1
618,7992,pân-tuānn-kut,1
619,7992,pān-tuānn-kut,1
620,8020,liâm-pinn,1
621,8044,tíng-iân,1
622,8100,lo̍k-kiô,1
623,8148,mâ-tshiok,1
624,8148,bâ-tshiok,1
625,8149,mâ-tshiok-jí-á/mâ-tshiok-lí-á,1
626,8149,bâ-tshiok-jí-á/bâ-tshiok-lí-á,1
627,8159,niáu-tshí-ta̍k-á/niáu-tshú-ta̍k-á,1
628,8173,hî-lân-tshuì-á/hû-lân-tshuì-á,1
629,8188,--ueh,1
630,8293,pò-in,1
631,8307,û-su-kûn,2
632,8318,muî-lâng,1
633,8320,muî-lâng-kong,1
634,8321,muî-lâng-pô,1
635,8322,muî-lâng-tshuì,1
636,8323,muî-lâng-lé,1
637,8330,tsiū sī,1
638,8330,tiō sī,1
639,8331,tsū-án-ne,1
640,8331,tsua̋n-ne,3
641,8331,tsua̋n,3
642,8354,kuí-lō,1
643,8354,kuí-ā,1
644,8355,kuí-ā kang,1
645,8384,e̍h,1
646,8406,nóo-khì,1
647,8415,tsiáng-ak,1
648,8415,tsióng-ap,2
649,8420,biâu-siá,1
650,8430,tsiáng-khuân,1
651,8430,tsióng-kuân,1
652,8454,at-tshiú,1
653,8469,kán-ná,1
654,8469,ká-ná,1
655,8475,pan-bé,1
656,8476,pan-bé-suànn,1
657,8485,tháu-khui,1
658,8486,suànn-huē,1
659,8491,kíng-tī,1
660,8513,tiâu-tē,1
661,8558,ti̍t-bu̍t,2
662,8558,tsi̍t-bu̍t,2
663,8571,hôo,1
664,8580,thuànn-khui,1
665,8597,iah,1
666,8597,ah,1
667,8597,á,1
668,8597,iá,1
670,8607,bô-thian-lí,1
671,8609,iah-m̄-kò,1
672,8609,ah-m̄-kò,1
673,8609,á-m̄-kò,1
674,8609,iá-m̄-kò,1
675,8611,bô kâng,1
676,8621,iah-buē/iah-bē,1
677,8621,ah-buē/ah-bē,1
678,8621,á-buē/á-bē,1
679,8621,iá-buē/iá-bē,1
680,8622,--bô-tá-kín,1
681,8635,bû-sóo-uì,1
682,8642,iah-sī,1
683,8642,ah-sī,1
684,8642,á-sī,1
685,8642,iá-sī,1
686,8646,bô-hān,1
687,8648,bua̋-kín,3
688,8658,bô-juā-kú,1
689,8658,bô-luā-kú,1
690,8675,bô-thuân,1
691,8676,buaih,3
692,8679,pâi-tsiò,1
693,8681,bô-lōo-iōng,1
694,8686,bô-gî-gōo,1
695,8689,iah-koh,1
696,8689,ah-koh,1
697,8689,á-koh,1
698,8689,iá-koh,1
699,8690,iah-koh-teh,1
700,8690,ah-koh-teh,1
701,8690,á-koh-teh,1
702,8690,iá-koh-teh,1
703,8734,huat-tsoh,1
704,8776,huat-kà,1
705,8778,puh-ínn,1
706,8807,tîng-sū,1
707,8892,tse̍h-khuì,1
708,8912,tsua̍t-tsíng,1
709,8939,hip-siōng,1
710,8940,hip-siōng-ki,1
711,8941,hip-siōng-kuán,1
712,8962,pa̍t-á,1
713,8993,tshiang-pôo,1
714,9069,ba̍uh,1
715,9074,ba̍uh-kang,1
716,9107,kuì-sam-sam,1
717,9112,tāi-khuánn,1
718,9123,ba̍uh-thâu,1
719,9139,hiong-tshuan,1
720,9148,pua̍h--tó,1
721,9158,páinn-kha,1
722,9205,tuī-guân,1
723,9268,sūn-sū,1
724,9315,tn̂g,1
725,9348,thn̂g-hiō-sû,2
726,9377,tsè-kuân,1
727,9383,lap,1
728,9416,uân-kóng-mn̂g,1
729,9416,uân-kióng-mn̂g,1
730,9426,thôo-thuh,1
731,9440,kè tsa̋u-kiánn,3
732,9445,ma-ma,1
733,9508,giú,1
734,9529,giú-tuā-soh,1
735,9532,sńg-sit,1
736,9555,sún-sîn,1
737,9588,sin-sián,2
738,9593,la̍k-kuân,1
739,9614,ē-īng-tsit,1
740,9614,ē-īng-lit,1
741,9614,ē-īng-eh,1
742,9622,ē-sái-tsit,1
743,9622,ē-sái-lit,1
744,9622,ē-sái-eh,1
745,9626,huē-kè,2
746,9629,iûnn-thô,1
747,9632,ē-tsò-tsit/ē-tsuè-tsit,1
748,9632,ē-tsò-lit/ē-tsuè-lit,1
749,9632,ē-tsò-eh/ē-tsuè-eh,1
750,9634,gia̍p-bū-guân,1
751,9642,ē-kham-tsit,1
752,9642,ē-kham-lit,1
753,9642,ē-kham-eh,1
754,9656,ē-hiáng,1
755,9663,heh,1
756,9663,hennh,1
757,9694,heh-khùn,1
758,9694,hennh-khùn,1
759,9741,ian-tshiân,2
760,9780,pîng-se,1
761,9818,kìm-kī,1
762,9859,tsat-be̍h,1
763,9872,tsuē-kuà,1
764,9873,tsuē-kuà,1
765,9921,meh-á-tshài,1
766,9923,lueh,3
767,9924,sìng-bió,1
768,9933,lōo-bué/lōo-bé,1
769,9934,lōo-bué-tshiú/lōo-bé-tshiú,1
770,9937,bak-tóo,1
771,9938,bak-tóo-bué/bak-tóo-bé,1
772,9939,bak-tóo-iau,1
773,9965,bān-puan,1
774,9967,lak-sui,1
776,10054,póo-thinn,1
777,10073,môo-khî,1
778,10073,gôo-khî,1
779,10102,uē-bú,1
780,10118,uī-hóo-lān,1
