序號,主編碼,又音,又音類型(1.又唸作 2.俗唸作 3.合音唸作)
781,10165,kha-thâu-hu,1
782,10177,bū,2
784,10216,lông-tshuan,1
785,10220,lông-khū,1
786,10253,lōo-thîng,1
787,10295,liâng-á,1
788,10423,tshiàm-uī,1
789,10430,mā-bueh,1
790,10463,tôo-tsu-kuán,1
791,10466,thuân-uân,1
792,10471,kuánn,1
793,10498,khím-sik,2
794,10505,kuánn-hū,1
795,10513,tuì-siòng,2
796,10569,tsîng,1
797,10573,tsîng-á,1
798,10628,muá-muá,1
799,10643,suan,1
800,10646,hah,1
801,10658,ián-guân,1
802,10661,suan-tháng,1
803,10668,lo̍k-kôo-muâi,1
805,10697,sik-sū,2
806,10699,kann-siûnn,1
807,10710,ka-ga̍k,1
808,10710,kàm-ga̍k,1
809,10778,tī-lang/tū-lang,1
810,10800,uî-tshî,1
811,10826,koo-hong,1
812,10826,koo-hông,1
813,10831,kô-kô-tînn,1
814,10833,ko-io̍h,1
815,10869,sueh-bîng/seh-bîng,1
816,10893,kà,1
817,10905,kànn-bú,1
818,10905,kà-bú,1
819,10907,sng-lam-tinn,1
820,10948,tìm,1
821,10959,líng-siū,1
822,10970,tìm-thâu,1
823,10979,tsiâu-tsn̂g,1
824,11009,--hennh,1
825,11031,hi-hi-hua-hua,1
826,11047,huè,1
827,11055,huè-tsí,1
828,11065,tin-siu,1
829,11069,huè-bu̍t,1
830,11072,khuan-ān,1
831,11076,siap-tia̍p,1
832,11081,kóng-pò-kio̍k,1
833,11091,thenn,1
834,11111,thenn-tsûn,1
835,11112,uì-lô,2
836,11122,lîn-bín,1
837,11123,thenn-ko,1
841,11160,pò-im,1
842,11163,pò-sàng,1
843,11165,puah-khui,1
845,11203,piau-tì,1
846,11209,phiau-tsún,1
847,11214,piau-thâu,1
848,11235,lūn-piánn-kauh,1
849,11255,sán-thio,1
850,11262,puânn-tshuì-kím,1
852,11353,lân-tsiau,1
853,11368,sat-bú,1
854,11385,tsuī,1
855,11393,uī-sing,1
856,11394,uī-sing-tsuá,1
857,11396,uī-tshenn/uī-tshinn,1
858,11402,khò-thîng,1
859,11440,ti-bú/tu-bú,1
860,11441,ti-bú-ling-á/tu-bú-ni-á,1
861,11442,ti-bú-tshài/tu-bú-tshài,1
862,11505,puê-sióng/pê-sióng,2
863,11538,sik-tong,1
865,11575,iúnn-tsú,1
866,11577,iúnn-bó,1
867,11583,khuà-huānn,1
868,11588,iúnn--ê,1
869,11596,iúnn-tshī,1
870,11599,lāu,1
871,11620,nāu-jia̍t/nāu-lia̍t,1
872,11631,khì-khū,1
873,11668,o̍h-liâu,1
874,11678,tiak,1
875,11699,pîng-liông-sim,1
876,11717,tshiau-huân,1
877,11723,tiak-sǹg-puânn,1
878,11727,pîng-kì/pîng-kù,1
879,11739,tshiū-bo̍k,1
880,11752,ki-hâi,2
881,11756,tshiū-uāinn,1
882,11762,ke-khì,1
883,11763,ke-khì-tháng,1
884,11763,ki-hì-tháng,1
885,11769,kann-ná,1
886,11770,huênn,1
887,11791,ki̍k-lia̍t,1
888,11893,hin,1
889,11922,thǹg-tsiah-kha,1
890,11928,thǹg-bak-theh,1
892,11942,phiân,1
893,11960,niau-mi,1
894,11974,tshan-tshiūnn,1
895,12004,tshénn-gōo/tshínn-gōo,1
896,12006,uî-si,1
897,12054,tshò-ngōo,1
898,12064,siò,1
899,12075,thâu-moo,1
900,12079,thâu-mn̂g-ngeh-á,1
901,12091,tha̍h-tú-á,1
902,12132,ah-bú,1
903,12133,ah-bú-tshuì,1
904,12134,ah-bú-tê,1
905,12138,lîng-be̍h,1
906,12139,lîng-kut,1
907,12140,gîng-gíng,1
908,12141,gîng-gíng-kuann,1
909,12142,liông-tsûn,1
910,12144,ah-tsiáng,1
911,12150,lîng-hōng,1
912,12151,liông-hê,1
913,12159,hennh,1
914,12167,hennh-kiann,1
915,12178,tshǹg,1
916,12187,ìnn-bú-á,1
917,12193,hí-lāng,2
918,12205,peh--khui,1
919,12207,ní-póo,1
920,12209,ìng-kai,1
921,12210,ìng-kai-jiân/ìng-kai-liân,1
922,12212,tshǹg-phīnn,1
923,12213,hì-ki̍k,1
924,12279,muâi,1
925,12309,tsóng-ba̍uh,1
926,12310,muâi-pn̄g,1
927,12356,siann-bōng,1
928,12358,po̍h-hô,1
930,12390,kiunn-bú,1
931,12391,kiunn-bú-ah,1
932,12398,khui-sún,1
933,12409,khóo-á-te,1
934,12429,bî-tshai,1
935,12435,tshíng-kha-ke/tshíng-kha-kue,1
936,12444,lìn,1
937,12458,phiah-bián,2
938,12463,lìn-tńg,1
939,12517,páinn,1
940,12527,iau-ti,1
941,12531,tn̄g-tsiáng,1
942,12540,phok-phok,1
943,12546,nà,1
944,12548,nà-ji̍t/nà-li̍t,1
945,12549,pun-nn̂g,1
946,12601,tsit-guân,1
947,12622,tsit-kuân,1
948,12638,giô-pe,1
949,12648,hiau-than,1
950,12680,tsiau-that,1
951,12693,lî,1
952,12705,ke-bú/kue-bú,1
953,12706,ke-bú-phuê/kue-bú-phê,1
954,12707,ke-bú-thâng/kue-bú-thâng,1
955,12787,iānn-hong,1
956,12788,iānn-tshik,1
957,12827,láng-kuân,1
958,12831,pān,1
959,12832,ngāi,1
960,12833,ngāi-ba̍k,1
961,12835,po̍k-tsah,1
962,12836,ngāi-gio̍h,1
963,12838,sih-nà,1
964,12838,sinnh-nà,1
965,12843,nî,1
966,12854,pho̍k-á,2
967,12865,puànn-ki-kah,1
968,12983,jióng,1
969,13029,kìng-tsing,1
970,13053,kìng-kò,1
971,13054,kìng-kài,1
972,13060,gī-guân,1
973,13061,kak-gōo,1
974,13064,kìng-pò,1
975,13070,kìng-tshat,1
976,13071,kìng-tshat-kio̍k,1
977,13077,sik-khiau,1
978,13077,sik-kia,1
979,13113,bīn-thâu,1
980,13116,kiâm-muâi,1
981,13137,hia-pai,1
982,13140,nuā-thôo-muâi,1
983,13172,lòo-tsuí,1
984,13189,hōo-tsiò,1
985,13197,lo̍k-iânn,1
986,13231,kuân,1
987,13232,kuân-li̍k,1
988,13234,kuân-lī,1
989,13237,kuân-ui,1
990,13238,kuân-hān,1
991,13308,lìng,1
992,13324,kiann tshenn-hūn/kiann tshinn-hūn,1
993,13344,lìng phuē/lìng phē,1
994,13347,pìnn-khuán,1
995,13376,liân-tsi,1
996,13544,thenn,1
997,13545,thenn-í,1
998,13557,thit-thô,1
999,13558,thit-thô-lâng,1
1000,13559,thit-thô gín-á,1
1001,13560,thit-thô-mi̍h/thit-thô-mn̍gh,1
1002,13561,thit-thô-mih-á,1
1003,13609,but,1
1004,13636,thap,1
1005,8379,phiak,1
1006,11373,hê-koo-phiak-á,1
1007,8158,niáu-tshí-phiak-á/niáu-tshú-phiak-á,1
1008,8164,tsiáu-phiak-á,1
1009,12646,siān-âng-á,1
1010,12646,siān-lâng-á,1
1011,12646,siān-tâng-á,1
1012,12646,sîn-âng-á,1
1013,2416,tshūn-pān,1
1014,2329,tshūn-sí,1
1015,13515,uaih-tio̍h,1
1016,13514,uaih,1
1017,34,it-kài,1
1018,50033,tshui-tshut,1
1019,50057,kuè-thîng/kè-thîng,1
1020,50060,kìng-hong,1
1021,50066,thîng-sik,1
1022,50071,guân-kang,1
1023,50079,kiû-guân,1
1024,50110,biān-tuì,1
1025,50146,tshui-tōng,1
1026,50152,kang-khū,1
1027,50168,tài-lâi,1
1028,50196,iú-hāu,1
1029,50198,sîng-guân,1
1030,50252,kì-lio̍k,1
1031,50284,tāi-kài,1
1032,50294,pó-tsiòng,1
1033,50303,huē-guân,1
1034,50304,kìng-suán,1
1035,50313,tshui-tsiàn,1
1036,50334,sîng-sio̍k,1
1037,50343,tsí-phiau,1
1038,50350,líng-i̍k,1
1039,50362,hîng-thîng,1
1040,50367,khài-liām,1
1041,50374,kì-lio̍k,1
1042,50381,huân-pó,1
1043,50386,im-hiáng,1
1044,50395,hun-hiáng,1
1045,50470,lo̍h-si̍t,1
1046,50472,kua-ki̍k,1
1047,50506,tong-tiong,1
1048,50507,phiau-sī,1
1049,50510,lio̍k-tshú,1
1050,50545,pâi-tî,1
1051,50558,hông-hōo,1
1052,50576,kìng-sài,1
1053,50594,kuàn-tshuan,1
1054,50599,î-hōo,1
1055,50609,ngôo-lo̍k,1
1056,50633,tsiân-uī,1
1057,50636,ka-khū,1
1059,50690,hóo-jīn/hóo-līn,1
1060,50721,uân-khu,1
1061,50737,īng-lâi,1
1062,50747,tsìn-tsū,1
1063,50754,ha̍k-guân,1
1064,50759,kuân-ik,1
1065,50766,kóo-nóo,1
1066,50781,hu̍t-bú,1
1067,50790,ting-lio̍k,1
1068,50796,uán-lî,1
1069,50834,kóo-kuân,1
1071,50898,kóng-pò,1
1072,50979,hòng-bo̍k,1
1073,50994,siū-kuân,1
1074,51004,tsiàu-bîng,1
1075,51009,ki̍k-tsîng,1
1076,51027,tsuí-pênn,1
1077,51040,pòo-buán,1
1078,51055,liû-sing,1
1079,51057,hua̍t-li̍k,1
1080,51061,bí-biāu,1
1081,51110,hun-lî,1
1082,51134,thiat-ha̍k,1
1083,51158,bô-hîng,1
1084,51167,khài-hóng,1
1085,51201,siu-lio̍k,1
1086,51213,liû-thîng,1
1087,51221,mn̄g-kǹg,1
1088,51272,Ji̍t-ki̍k/Li̍t-ki̍k,1
1089,51281,bîng-sû,1
1090,51338,uī-i̍k,1
1091,51353,tāi-to-sòo,1
1092,51373,jio̍k-thé/lio̍k-thé,1
1093,51375,tshuan-bîn,1
1094,51389,khik-kuan,1
1095,51411,tsuan-lâng,1
1096,51449,lio̍k-tsè,1
1097,51460,kìng-guân,1
1098,51471,lāi-tsāi,1
1099,51525,kim-khiok,1
1100,51526,hîng-lio̍k,1
1101,51540,tî-kuân,1
1102,51548,kiông-kuân,1
1103,51551,tshui-tián,1
1104,51582,huè-khì-bu̍t,1
1105,51636,pu̍t-tsu,1
1106,51661,tsóo-la̍t,1
1107,51663,sìn-lāi,1
1108,51678,ti̍k-phài-guân,1
1109,51740,tsiàn-kàm,2
1110,51785,kau-hiáng-khik,1
1111,51788,hîng-kìng,1
1112,51797,Pu̍t-tián,1
1113,51812,hòng-ká,1
1114,51820,tsa-sûn,1
1115,51830,tiông-pòo,1
1116,51839,hái-i̍k,1
1117,51898,niá-tuī,1
1118,51908,suán-īng,1
1119,51915,sing-uān,1
1120,51923,jîn-bīng,1
1121,51962,kái-īng,1
1122,51972,pun-pho,1
1124,51999,siong-pí,1
1125,51999,sann-pí,1
1126,52021,siok-sià,1
1127,52032,bo̍k-bîng-kî-biāu,1
1128,52065,lōo-phiau,1
1129,52079,ki̍k-thuân,1
1130,52099,gī-thîng,1
1131,52112,tiong-kàu,1
1132,52124,ji̍t-thîng/li̍t-thîng,1
1133,52167,iû-tông-hue,1
1134,52220,tshui-kí/tshui-kú,1
1135,52225,phiò-kuàn,1
1136,52245,bô-lîng,1
1137,52257,kìng-phuè,2
1138,52285,phiau-kì,1
1139,52319,kàm-tuī,2
1140,52339,tiong-su,1
1141,52340,lāi-bōo,1
1142,52345,siáu-tsiòng,1
1143,52350,bûn-khū,1
1144,52353,gue̍h-tâi,1
1145,52382,huê-hiáng,1
1146,52412,sìng-bîng,1
1147,52427,huat-kìng,1
1148,52444,phín-tsióng,1
1149,52450,tsa-tshut,1
1150,52453,phài-tsū,1
1151,52560,phiau-tsì,1
1152,52561,phiau-tê/phiau-tuê,1
1153,52594,siōng-kàu,1
1154,52600,tuā-sū,1
1155,52636,pênn-thán/pînn-thán,1
1156,52641,hiong-tshiú,1
1157,52662,pu̍t-king,1
1158,52668,hóo-tīng,1
1159,52680,hông-uī,1
1160,52691,sóo-iú-kuân,1
1161,52713,āu-uē,1
1162,52717,tsa-khàu,1
1163,52718,tsa-hong,1
1164,52736,thiat-lí,1
1165,52744,hu̍t-tsú,1
1166,52783,kàu-huat,1
1167,52796,pò-kìng,1
1168,52804,pit-lio̍k,1
1169,52819,bî-biāu,1
1170,52842,hî-tshuan/hû-tshuan,1
1171,52845,bāng-i̍k,1
1172,52850,koh-guân,1
1173,52854,huè-tsuí,1
1174,52855,huè-tû,1
1175,52886,sài-thîng,1
1176,52899,tóng-guân,1
1177,52931,thian-hōo,1
1178,52935,siáu-kàu,1
1179,52981,miâ-i,1
1180,52983,huê-thîng/hê-thîng,1
1181,52996,ū-hîng,1
1182,52997,iú-iân,1
1183,53005,Pu̍t-huat,1
1184,53059,pán-kuân,1
1185,53061,siā-guân,1
1186,53153,tshái-kǹg,1
1187,53162,tshui-sǹg,1
1188,53166,kàu-khū,1
1189,53200,kiat-tsing,1
1190,53209,khai-tî,1
1191,53215,hn̂g-tē/hn̂g-tuē,1
1192,53280,uī-kàu,1
1193,53297,ki̍k-tōng,1
1194,53313,kiám-kìng,1
1195,53333,siang-tsàn,1
1196,53340,kìng-pio,1
1197,53389,gōo-sing-kip,1
1198,53431,tsuí-i̍k,1
1199,53474,bó-gí/bó-gú,1
1200,53485,kau-hiáng-ga̍k,1
1201,53489,tsuân-thîng,1
1202,53499,hó-iōng,1
1203,53503,siú-uī,1
1204,53518,hóo-kuat,1
1205,53521,biāu-hng,1
1206,53556,pun-tsáu,1
1207,53591,ui-kuân,1
1208,53690,kàu-tsit-guân,1
1209,53727,tsiáng-kuán,1
1210,53764,ò-biāu,1
1211,53777,khe-liû/khue-liû,1
1213,53828,huè-khì,1
1214,53829,huè-pio,1
1215,53836,phiau-tiám,1
1216,53841,pian-ki̍k,1
1217,53852,ha̍k-tióng,1
1218,53883,phiah-lān,2
1219,53901,kíng-uī,1
1220,53906,kuân-sè,1
1221,53938,sió-piān,1
1222,53955,guân-nóo,1
1223,54038,īng-huat,1
1224,54053,miâ-ū,1
1225,54058,tē-phiau/tuē-phiau,1
1226,54075,tsū-uī,1
1227,54079,hâng-guân,1
1228,54082,Pu̍t-ha̍k,1
1229,54089,gôo-kueh-hî/gôo-kueh-hû,1
1230,54102,tshuan-tiúnn,1
1231,54161,hù-lio̍k,1
1232,54170,tsiân-thîng,1
1233,54190,tsa-bîng,1
1234,54191,tsa-tsìng,1
1235,54195,liû-i̍k,1
1236,54198,lâu-pio,1
1237,54204,siong-liân,1
1238,54262,siā-thîng,1
1239,54290,phò-tî,1
1240,54303,hâng-thîng,1
1241,54304,hâng-kuân,1
1242,54312,huê-phiah,2
1243,54344,sok-miā,1
1244,54347,tsuan-guân,1
1245,54363,tshui-àn,1
1247,54455,tshâi-guân,1
1248,54470,tsi̍p-kuân,1
1249,54517,uē-ki̍k,1
1251,54537,pá-buán,1
1252,54579,ki̍k-īnn,1
1253,54586,huè-khì,1
1254,54597,phiau-bîng,1
1255,54609,uī-ping,1
1256,54620,tsū-kun,1
1257,54629,ting-khū,1
1258,54642,lio̍k-iōng,1
1259,54644,gím-piau,1
1260,54676,lī-sàn,1
1261,54677,lī-tsit,1
1262,54721,pà-kuân,1
1263,54740,tāi-pōo-hūn,1
1264,54763,guân-guē,1
1265,54785,tsióng-kǹg,1
1266,50609,gû-lo̍k,1
1267,52621,tsuí-tshiú,1
1268,54661,tuān-tīng,1
1269,8750,huat-gê,1
1270,50345,sòo-biâu,1
1271,50360,tái-tôo,1
1272,51875,khai-pò,1
1273,54654,liân-pò,1
1274,50645,pò-hòng,1
1275,50408,pò-tshut,1
1276,51238,thuân-pò,1
1277,53324,tiám-pò,1
1278,51830,tîng-pò,1
1279,51830,tiông-pò,1
1280,54146,ti̍t-pò,1
1281,54570,tsè-pò,1
1282,54000,tsú-pò,1
1283,51456,tsuán-pò,1
1284,50414,hu̍t-sim,1
1285,50477,kìng-tsing-li̍k,1
1286,50603,tsīng-í,1
1287,51896,í-huē,1
1288,50725,thuân-guân,1
1289,50780,guân-kíng,1
1290,50929,siong-iông,1
1291,50988,tî-liáu,1
1292,51093,î-siu,1
1293,50482,îng-î,1
1294,51166,gia̍p-î,1
1295,51256,liâu-thîng,1
1296,51274,pîng-tâi,1
1297,51436,póo-sióng,2
1298,51444,po̍k-tōng,1
1299,53835,po̍k-luān,1
1300,50799,po̍k-li̍k,1
1301,51515,phênn-sòo/phînn-sòo,1
1302,51645,hióng-iú,1
1303,51749,siâm-su,1
1304,51775,khì-tî,1
1305,51862,tshing-tî,1
1306,52013,tô-senn/tô-sinn,1
1307,52066,thiàu-uán,1
1308,52357,tsú-tsái,1
1309,52363,puàn-sòo,1
1310,52395,san-tî,1
1311,52496,tsiap-tsiáng,1
1312,52499,tshing-sǹg,1
1313,52581,tn̄g-kau,1
1314,52609,kong-tsiànn,1
1315,52730,bīn-tâm,1
1316,52855,huì-tî,1
1317,52855,huè-tî,1
1318,52881,ìng-tong,1
1319,53160,sàu-tî,1
1320,53322,thuàn-liān,1
1321,53559,giâm-tsio̍h,1
1322,51261,phan-gâm,1
1323,53899,kìng-kuann,1
1324,53900,kìng-tiúnn,1
1325,53917,it-iā-tsîng,1
1326,54643,lio̍k-iánn,1
1327,54673,tsuán-sok,1
1328,54701,kìng-ki,1
1329,54704,kìng-kio̍k,1
1330,54705,kìng-tshia,1
1331,54718,hōo-nuâ,1
1332,54714,lân-uī,1
1333,51547,tsuan-lân,1
1334,54796,buán-luí,1
1335,12228,kiong-si,1
1336,10546,thài-tōo,1
1337,1923,bo̍k-tik,1
1338,13442,go̍k-hî/go̍k-hû,1
1339,10806,hua̍t-khuánn,1
1340,8317,tiō,1
1341,8317,tio̍h,1
1342,4145,phō-khiám,1
1344,13491,si̍p,1
1345,13492,si̍p--tsi̍t-ē,1
1346,11752,ki-kài,1
1347,7241,tit-ì,1
1348,7215,tit-sit,1
1349,7244,tit-tsuē,1
1350,7209,tik-lâng-sioh,1
1351,7208,tik-lâng-thiànn,1
1352,7240,tik-sè,1
1353,54357,tit-phiò,1
1354,51223,tit-phiò-lu̍t,1
1355,50461,tshú-tik,1
1356,50756,tsíng-kô,2
1357,12446,hâinn,1
1358,5121,ta-poo,1
1359,5124,ta-poo gín-á,1
1360,8317,to̍h,1
1361,9291,pn̄g-a̍p-á,1
1362,11508,tàm,1
1363,2032,pe̍h-tiò,1
1364,9413,thôo-kak,2
1365,9414,thôo-kak-tshù,2
1366,11137,pò,1
1367,13339,thé-biān,1
1369,1049,khiàm-khuat,1
1370,2651,bí-lin,1
1371,1240,gû-lin-sik,1
1372,1242,gû-lin-thn̂g,1
1373,1241,gû-lin-tshuì-á,1
1374,1238,gû-lin,1
1375,4448,hàng-lin,1
1376,9680,ik-lin,1
1377,643,lāi-lin,1
1378,1704,lin-bú-tshia,1
1379,1698,lin-bú,1
1380,1830,lin-gâm,1
1381,1736,lin-phè-á,1
1382,1824,lin-thâu,1
1383,1781,lin-tshuì-á,1
1384,1647,lin,1
1385,7504,suh lin,1
1386,3430,tāu-lin,1
1387,11441,ti-bó-lin-á,1
1388,12526,tn̄g-lin,1
1389,6575,tshàu-lin-tai,1
1390,10335,tshī-lin,1
1391,11743,tshiū-lin-thn̂g,1
1392,11742,tshiū-lin,1
1393,5602,tsia̍h-lin,1
1394,53466,lin-tê,1
1395,51777,lin-tsuí,1
1396,7125,siánn-mi̍h,1
1397,8660,bô-siánn-mi̍h,1
1398,5609,hui-lîng-ki,1
1399,5609,pue-lîng-ki,1
1400,3923,phīnn-phīnn-tshuán,1
1401,3923,phīnn-phēnn-tshuán,1
1402,3923,phīnn-phānn-tshuán,1
1403,30007,li̍p-hā,1
1404,10431,go̍k-hî/go̍k-hû,1
1405,4820,tih-beh/tih-bueh,1
1406,9779,tng-tih,1
1407,3096,Siòng-kang-tīn,1
1408,50107,hū-kīn/hū-kūn,1
1409,52173,hū-ka,1
1410,50697,hū-siat,1
1411,52706,hū-sio̍k,1
1412,52436,hū-tài,1
1413,51967,i-hū,1
1414,50095,tshing-tshóo,1
1415,4054,phah-lâ-liâng,1
1416,51814,huat-bûn,1
1417,9224,khai-bōo,1
1418,4125,phah-kat-khiû,1
1419,1811,sit-suàn,1
1420,152,tiau-ì-kòo,1
1421,11286,khing-hun,1
1422,51101,lân-bông,1
1423,13224,--loh,1
1424,51855,ká-kî,1
1425,51812,pàng-kà,1
1426,51812,hòng-kà,1
1427,13188,khiàn-tsik,1
1428,13651,puî-lut-lut,1
1429,7245,tài-niá,1
1430,2907,tueh,3
1431,3391,tsai-ē,1
1432,12221,tòng,1
1433,50122,tsham-ū,1
1434,50913,bîn-tiàu,1
1435,8688,thì-thuí,1
1436,13678,ka-tshia-tîn,1
1437,13687,kau-tiāng,1
1438,13706,koo-tsa̋u-kiánn,3
1439,13691,gī-sènn,1
1440,13728,sann-tshuā,1
1441,13729,sann-mā-pún,1
1442,13733,kóo-guā-gue̍h/kóo-guā-ge̍h,1
1443,13757,tuà-sin-lâng,1
1444,13761,buán-tang,1
1445,13806,thôo-muâi,1
1446,13807,giú-phiò,1
1447,13811,ē-kì--tsit、ē-kì--lit、ē-kì--lih、ē-kì--eh,1
1448,13835,tuì-siàng,1
1449,13852,iánn-jiah/iánn-liah,1
1450,13853,thenn-tōo,1
1451,13873,hē-hē-kiò,1
1452,13893,kiâm-buê,1
1453,13900,ut-áunn,1
1454,13753,ko-tshiâng,1
1455,13919,siāng-bué,1
1456,13921,siāng-bô,1
1457,13922,e-tàu-tǹg,1
1458,14001,puàn-ting,1
1459,14004,piàn-suī,1
1460,14007,sai-kong-á-sīn-pue,1
1461,14010,iang-kà,1
1462,14046,hó-bī-sī,1
1463,14047,gī-ûn,1
1464,14049,tshiânn-keh,1
1465,14077,toh-lo̍h/tah-lo̍h,1
1466,14078,hu̍t-siú-kam,1
1467,14068,tsū-ka-īng--ê,1
1468,14081,thah ē,1
1469,14085,tsē-m̄-tio̍h,1
1470,14086,tsē-té/tsē-tué,1
1471,14092,bông-un-puē-gī,1
1472,14121,koo-niáu,1
1473,14116,sià-sí-sià-tsìng,2
1474,14124,tīng-huè/tīng-hè,1
1475,14130,tú-leh,1
1476,14146,khang-su-bāng-sióng,1
1477,14157,tsióng-tsì,1
1478,14166,siok-pháng,1
1479,14172,kheh-muá,1
1480,14179,tsńg-kah-bâi,1
1481,14188,khī-song,1
1482,14191,sann-thīn,1
1483,14198,kí-nî,1
1484,14234,lîng-li̍k,1
1485,14259,oo-jí-á-tshài,1
1486,14226,hiunn-iân-kue,1
1487,14304,juā-kú,1
1488,14325,m̂-á-tê,1
1489,14325,muâi-á-tê,1
1490,14325,buê-á-tê,1
1491,14311,sam-á-khuì,1
1492,14311,som-á-khuì,1
1493,14304,luā-kú,1
1494,14130,tú-lih,1
1495,14192,sann-tshē,1
1496,14363,hân-san,1
1497,14367,kiám-sī,1
1498,14370,pian-tsi,1
1499,14404,ba̍uh-huè-té/ba̍uh-hè-tué,1
1500,14411,ba-bui-tsí,1
1501,14414,thôo-tsio̍h-liû,1
1502,14419,giú-āu-kha,1
1503,14432,heh-liâng、hennh-liâng,1
1504,14433,heh-khùn-ji̍t、hennh-khùn-ji̍t,1
1505,14434,heh-khùn-sî-á、hennh-khùn-sî-á,1
1506,14456,in-tsîng-lâng,1
1507,14472,tiān-thâu-moo-tiàm,1
1508,14477,bōo-tsuá,1
1509,14525,tùn,1
1510,14527,tshiū-lin-sok-á,1
1511,14538,àng-láng,1
1512,14539,thǹg-moo,1
1513,14548,sa̍p-sa̍p-á-hōo,1
1514,14563,liâm-sî-liâm-iāu,1
1515,27871,liâm-sî-liâm-tsūn,1
1516,14587,kuâinn-tíng,1
1517,14608,pìnn-siùnn,1
1518,14609,pìnn-sánn-báng,1
1519,14611,lù-khá,1
1520,14616,tshǹg-tsuí-bī,1
1521,14618,siûnn-la̍p-la̍p,1
1522,27900,siûnn-le̍h-le̍,1
1523,14640,m̄-tiō,1
1524,9420,thap--lo̍h,1
1525,8579,tshik-liōng,1
1526,8528,í-tiâu,1